NavVal,NavDate
60.83,04/17/2006 00:00:00
61.96,04/18/2006 00:00:00
62.83,04/19/2006 00:00:00
63.3,04/20/2006 00:00:00
63.44,04/21/2006 00:00:00
63.96,04/24/2006 00:00:00
63.16,04/25/2006 00:00:00
63.87,04/26/2006 00:00:00
62.17,04/27/2006 00:00:00
62.66,05/01/2006 00:00:00
63.81,05/02/2006 00:00:00
64.2,05/03/2006 00:00:00
64.7,05/04/2006 00:00:00
65.15,05/05/2006 00:00:00
65.68,05/08/2006 00:00:00
65.61,05/09/2006 00:00:00
64.73,05/10/2006 00:00:00
64.88,05/11/2006 00:00:00
63.05,05/12/2006 00:00:00
60.28,05/15/2006 00:00:00
60.26,05/16/2006 00:00:00
57.95,05/17/2006 00:00:00
56.5,05/18/2006 00:00:00
55.42,05/19/2006 00:00:00
51.09,05/22/2006 00:00:00
54.12,05/23/2006 00:00:00
53.51,05/25/2006 00:00:00
56.23,05/26/2006 00:00:00
56.32,05/29/2006 00:00:00
54.64,05/30/2006 00:00:00
53.49,05/31/2006 00:00:00
54.09,06/01/2006 00:00:00
55.44,06/05/2006 00:00:00
53.88,06/06/2006 00:00:00
52.9,06/07/2006 00:00:00
50.36,06/08/2006 00:00:00
50.1,06/09/2006 00:00:00
48.77,06/12/2006 00:00:00
46.57,06/13/2006 00:00:00
47.27,06/14/2006 00:00:00
49.24,06/15/2006 00:00:00
48.75,06/16/2006 00:00:00
49.1,06/19/2006 00:00:00
49.59,06/20/2006 00:00:00
49.87,06/21/2006 00:00:00
49.1,06/23/2006 00:00:00
49.42,06/26/2006 00:00:00
51.17,06/27/2006 00:00:00
52.28,06/28/2006 00:00:00
53.53,06/29/2006 00:00:00
54.49,06/30/2006 00:00:00
55.13,07/03/2006 00:00:00
55.56,07/04/2006 00:00:00
54.3,07/05/2006 00:00:00
55.55,07/06/2006 00:00:00
55.58,07/07/2006 00:00:00
56.25,07/10/2006 00:00:00
56.19,07/11/2006 00:00:00
56.71,07/12/2006 00:00:00
54.59,07/13/2006 00:00:00
54.71,07/14/2006 00:00:00
53.89,07/17/2006 00:00:00
54.21,07/18/2006 00:00:00
56.07,07/19/2006 00:00:00
56.48,07/20/2006 00:00:00
55.87,07/21/2006 00:00:00
57.13,07/24/2006 00:00:00
57.37,07/25/2006 00:00:00
57.87,07/26/2006 00:00:00
59.25,07/27/2006 00:00:00
59.43,07/28/2006 00:00:00
59.21,07/31/2006 00:00:00
58.88,08/01/2006 00:00:00
59.69,08/02/2006 00:00:00
59.5,08/03/2006 00:00:00
59.96,08/04/2006 00:00:00
60.43,08/07/2006 00:00:00
59.99,08/08/2006 00:00:00
61.03,08/09/2006 00:00:00
60.64,08/10/2006 00:00:00
60.92,08/11/2006 00:00:00
60.81,08/15/2006 00:00:00
61.3,08/16/2006 00:00:00
60.43,08/17/2006 00:00:00
59.3,08/18/2006 00:00:00
59.35,08/21/2006 00:00:00
60.35,08/22/2006 00:00:00
60.81,08/23/2006 00:00:00
60.49,08/24/2006 00:00:00
60.73,08/25/2006 00:00:00
60.28,08/28/2006 00:00:00
60.43,08/29/2006 00:00:00
60.65,08/30/2006 00:00:00
59.94,08/31/2006 00:00:00
59.93,09/01/2006 00:00:00
60.43,09/04/2006 00:00:00
61.19,09/05/2006 00:00:00
60.35,09/06/2006 00:00:00
58.99,09/07/2006 00:00:00
59.61,09/08/2006 00:00:00
57.94,09/11/2006 00:00:00
58.62,09/12/2006 00:00:00
59.54,09/13/2006 00:00:00
59.19,09/14/2006 00:00:00
59.18,09/15/2006 00:00:00
59.84,09/18/2006 00:00:00
59.63,09/19/2006 00:00:00
58.74,09/20/2006 00:00:00
58.09,09/21/2006 00:00:00
56.31,09/22/2006 00:00:00
55.66,09/25/2006 00:00:00
56.67,09/26/2006 00:00:00
57.43,09/27/2006 00:00:00
58.31,09/28/2006 00:00:00
58.18,09/29/2006 00:00:00
57.86,10/02/2006 00:00:00
56.88,10/03/2006 00:00:00
57.49,10/04/2006 00:00:00
58.87,10/05/2006 00:00:00
58.73,10/06/2006 00:00:00
59.4,10/09/2006 00:00:00
60.34,10/10/2006 00:00:00
60.47,10/11/2006 00:00:00
60.94,10/12/2006 00:00:00
61.95,10/13/2006 00:00:00
61.94,10/16/2006 00:00:00
61.16,10/17/2006 00:00:00
62.05,10/18/2006 00:00:00
62.49,10/19/2006 00:00:00
61.63,10/20/2006 00:00:00
61.61,10/23/2006 00:00:00
61.63,10/24/2006 00:00:00
62.32,10/25/2006 00:00:00
62.39,10/26/2006 00:00:00
61.71,10/27/2006 00:00:00
60.7,10/30/2006 00:00:00
61.82,11/01/2006 00:00:00
61.06,11/02/2006 00:00:00
61.75,11/03/2006 00:00:00
62.79,11/06/2006 00:00:00
63.25,11/07/2006 00:00:00
63.12,11/08/2006 00:00:00
64.01,11/09/2006 00:00:00
63.41,11/10/2006 00:00:00
63.49,11/13/2006 00:00:00
63.54,11/14/2006 00:00:00
63.22,11/15/2006 00:00:00
63.81,11/16/2006 00:00:00
62.81,11/17/2006 00:00:00
62.93,11/20/2006 00:00:00
63.64,11/21/2006 00:00:00
63.71,11/22/2006 00:00:00
63.68,11/23/2006 00:00:00
63.35,11/24/2006 00:00:00
63.33,11/27/2006 00:00:00
63.1,11/28/2006 00:00:00
64.9,11/29/2006 00:00:00
