NavVal,NavDate
366.61,04/17/2006 00:00:00
366.62,04/18/2006 00:00:00
366.61,04/19/2006 00:00:00
366.94,04/20/2006 00:00:00
366.86,04/21/2006 00:00:00
366.99,04/24/2006 00:00:00
366.11,04/25/2006 00:00:00
365.94,04/26/2006 00:00:00
366.16,04/27/2006 00:00:00
366.81,05/01/2006 00:00:00
366.56,05/02/2006 00:00:00
366.22,05/03/2006 00:00:00
365.8,05/04/2006 00:00:00
366.05,05/05/2006 00:00:00
366.07,05/08/2006 00:00:00
365.82,05/09/2006 00:00:00
366.27,05/10/2006 00:00:00
365.31,05/11/2006 00:00:00
365.15,05/12/2006 00:00:00
365.96,05/15/2006 00:00:00
366.71,05/16/2006 00:00:00
365.73,05/17/2006 00:00:00
366,05/18/2006 00:00:00
366.47,05/19/2006 00:00:00
367.64,05/22/2006 00:00:00
367.67,05/23/2006 00:00:00
368.34,05/25/2006 00:00:00
368.29,05/26/2006 00:00:00
368.37,05/29/2006 00:00:00
367.63,05/30/2006 00:00:00
366.84,05/31/2006 00:00:00
366.58,06/01/2006 00:00:00
367.18,06/05/2006 00:00:00
366.6,06/06/2006 00:00:00
366.53,06/07/2006 00:00:00
367.61,06/08/2006 00:00:00
367.76,06/09/2006 00:00:00
368.15,06/12/2006 00:00:00
368.9,06/13/2006 00:00:00
368.26,06/14/2006 00:00:00
367.23,06/15/2006 00:00:00
367.4,06/16/2006 00:00:00
366.83,06/19/2006 00:00:00
366.45,06/20/2006 00:00:00
365.91,06/21/2006 00:00:00
364.69,06/23/2006 00:00:00
364.45,06/26/2006 00:00:00
364.46,06/27/2006 00:00:00
364.56,06/28/2006 00:00:00
365.16,06/29/2006 00:00:00
365.16,06/30/2006 00:00:00
365.17,07/03/2006 00:00:00
365.35,07/04/2006 00:00:00
364.37,07/05/2006 00:00:00
364.54,07/06/2006 00:00:00
365.37,07/07/2006 00:00:00
365.24,07/10/2006 00:00:00
365.83,07/11/2006 00:00:00
365.24,07/12/2006 00:00:00
366,07/13/2006 00:00:00
367.01,07/14/2006 00:00:00
366.94,07/17/2006 00:00:00
366.62,07/18/2006 00:00:00
366.95,07/19/2006 00:00:00
367.16,07/20/2006 00:00:00
367.76,07/21/2006 00:00:00
367.85,07/24/2006 00:00:00
367.87,07/25/2006 00:00:00
367.34,07/26/2006 00:00:00
368.03,07/27/2006 00:00:00
368.52,07/28/2006 00:00:00
368.77,07/31/2006 00:00:00
368.72,08/01/2006 00:00:00
368.74,08/02/2006 00:00:00
367.95,08/03/2006 00:00:00
368.89,08/04/2006 00:00:00
369.33,08/07/2006 00:00:00
369.4,08/08/2006 00:00:00
368.82,08/09/2006 00:00:00
368.94,08/10/2006 00:00:00
368.06,08/11/2006 00:00:00
368.11,08/15/2006 00:00:00
368.9,08/16/2006 00:00:00
369.36,08/17/2006 00:00:00
369.66,08/18/2006 00:00:00
370.65,08/21/2006 00:00:00
371.91,08/22/2006 00:00:00
371.68,08/23/2006 00:00:00
371.96,08/24/2006 00:00:00
372.33,08/25/2006 00:00:00
372.38,08/28/2006 00:00:00
371.69,08/29/2006 00:00:00
372.14,08/30/2006 00:00:00
372.87,08/31/2006 00:00:00
373.31,09/01/2006 00:00:00
373.35,09/04/2006 00:00:00
372.65,09/05/2006 00:00:00
371.81,09/06/2006 00:00:00
372.07,09/07/2006 00:00:00
372.65,09/08/2006 00:00:00
372.55,09/11/2006 00:00:00
371.97,09/12/2006 00:00:00
372.76,09/13/2006 00:00:00
372.75,09/14/2006 00:00:00
372.97,09/15/2006 00:00:00
372.18,09/18/2006 00:00:00
373.14,09/19/2006 00:00:00
373.37,09/20/2006 00:00:00
373.72,09/21/2006 00:00:00
375.18,09/22/2006 00:00:00
375.92,09/25/2006 00:00:00
376.02,09/26/2006 00:00:00
375.75,09/27/2006 00:00:00
375.46,09/28/2006 00:00:00
375.16,09/29/2006 00:00:00
375.51,10/02/2006 00:00:00
374.87,10/03/2006 00:00:00
375.42,10/04/2006 00:00:00
375.28,10/05/2006 00:00:00
374.78,10/06/2006 00:00:00
374.63,10/09/2006 00:00:00
373.74,10/10/2006 00:00:00
373.77,10/11/2006 00:00:00
373.89,10/12/2006 00:00:00
373.51,10/13/2006 00:00:00
373.55,10/16/2006 00:00:00
374.17,10/17/2006 00:00:00
373.92,10/18/2006 00:00:00
373.47,10/19/2006 00:00:00
373.59,10/20/2006 00:00:00
372.91,10/23/2006 00:00:00
372.97,10/24/2006 00:00:00
372.83,10/25/2006 00:00:00
373.33,10/26/2006 00:00:00
374.21,10/27/2006 00:00:00
374.88,10/30/2006 00:00:00
376.77,11/01/2006 00:00:00
376.21,11/02/2006 00:00:00
375.49,11/03/2006 00:00:00
375.09,11/06/2006 00:00:00
376.02,11/07/2006 00:00:00
375.79,11/08/2006 00:00:00
376.02,11/09/2006 00:00:00
376.64,11/10/2006 00:00:00
376.39,11/13/2006 00:00:00
376.73,11/14/2006 00:00:00
376.36,11/15/2006 00:00:00
376.1,11/16/2006 00:00:00
376.69,11/17/2006 00:00:00
377.17,11/20/2006 00:00:00
377.22,11/21/2006 00:00:00
377.21,11/22/2006 00:00:00
376.61,11/23/2006 00:00:00
377.48,11/24/2006 00:00:00
377.22,11/27/2006 00:00:00
377.58,11/28/2006 00:00:00
377.2,11/29/2006 00:00:00
377.67,11/30/2006 00:00:00
378.28,12/01/2006 00:00:00
378.41,12/04/2006 00:00:00
378.19,12/05/2006 00:00:00
377.98,12/06/2006 00:00:00
377.43,12/07/2006 00:00:00
377.02,12/08/2006 00:00:00
376.64,12/11/2006 00:00:00
376.68,12/12/2006 00:00:00
376.6,12/13/2006 00:00:00
375.72,12/14/2006 00:00:00
375.38,12/15/2006 00:00:00
374.9,12/18/2006 00:00:00
374.17,12/19/2006 00:00:00
374.19,12/20/2006 00:00:00
373.9,12/21/2006 00:00:00
373.73,12/26/2006 00:00:00
373.01,12/27/2006 00:00:00
372.45,12/28/2006 00:00:00
372.81,12/29/2006 00:00:00
373.28,01/02/2007 00:00:00
373.03,01/03/2007 00:00:00
373.38,01/04/2007 00:00:00
372.5,01/05/2007 00:00:00
372.59,01/08/2007 00:00:00
372.06,01/09/2007 00:00:00
371.82,01/10/2007 00:00:00
371.93,01/11/2007 00:00:00
371.1,01/12/2007 00:00:00
371.36,01/15/2007 00:00:00
371.67,01/16/2007 00:00:00
371.78,01/17/2007 00:00:00
371.2,01/18/2007 00:00:00
371.59,01/19/2007 00:00:00
372.26,01/22/2007 00:00:00
372.33,01/23/2007 00:00:00
371.92,01/24/2007 00:00:00
371.41,01/25/2007 00:00:00
371.1,01/26/2007 00:00:00
370.61,01/29/2007 00:00:00
370.78,01/30/2007 00:00:00
371.03,01/31/2007 00:00:00
371.29,02/01/2007 00:00:00
371.81,02/02/2007 00:00:00
372.49,02/05/2007 00:00:00
372.62,02/06/2007 00:00:00
372.66,02/07/2007 00:00:00
372.39,02/08/2007 00:00:00
371.6,02/09/2007 00:00:00
371.31,02/12/2007 00:00:00
371.02,02/13/2007 00:00:00
371.48,02/14/2007 00:00:00
372.56,02/15/2007 00:00:00
372.49,02/16/2007 00:00:00
372.22,02/19/2007 00:00:00
372.26,02/20/2007 00:00:00
372.6,02/21/2007 00:00:00
372,02/22/2007 00:00:00
372.69,02/23/2007 00:00:00
373.72,02/26/2007 00:00:00
374.33,02/27/2007 00:00:00
374.47,02/28/2007 00:00:00
