NavVal,NavDate
403.37,04/17/2006 00:00:00
401.82,04/18/2006 00:00:00
406.1,04/19/2006 00:00:00
408.49,04/20/2006 00:00:00
411.79,04/21/2006 00:00:00
410.71,04/24/2006 00:00:00
411.19,04/25/2006 00:00:00
411.71,04/26/2006 00:00:00
409.93,04/27/2006 00:00:00
408.5,05/01/2006 00:00:00
410.64,05/02/2006 00:00:00
408.18,05/03/2006 00:00:00
410.4,05/04/2006 00:00:00
413.97,05/05/2006 00:00:00
415,05/08/2006 00:00:00
416.1,05/09/2006 00:00:00
415.7,05/10/2006 00:00:00
414.01,05/11/2006 00:00:00
406.5,05/12/2006 00:00:00
402.22,05/15/2006 00:00:00
403.66,05/16/2006 00:00:00
393.05,05/17/2006 00:00:00
392.09,05/18/2006 00:00:00
392.74,05/19/2006 00:00:00
384.05,05/22/2006 00:00:00
390.34,05/23/2006 00:00:00
391.33,05/25/2006 00:00:00
396.8,05/26/2006 00:00:00
395.88,05/29/2006 00:00:00
388.84,05/30/2006 00:00:00
393.04,05/31/2006 00:00:00
394.73,06/01/2006 00:00:00
393.86,06/05/2006 00:00:00
387.23,06/06/2006 00:00:00
390.3,06/07/2006 00:00:00
381.96,06/08/2006 00:00:00
386.67,06/09/2006 00:00:00
383.46,06/12/2006 00:00:00
376.26,06/13/2006 00:00:00
376.76,06/14/2006 00:00:00
383.2,06/15/2006 00:00:00
381.6,06/16/2006 00:00:00
383.26,06/19/2006 00:00:00
384.54,06/20/2006 00:00:00
385.65,06/21/2006 00:00:00
388.14,06/23/2006 00:00:00
387.2,06/26/2006 00:00:00
385.85,06/27/2006 00:00:00
385.91,06/28/2006 00:00:00
391.57,06/29/2006 00:00:00
396.62,06/30/2006 00:00:00
398.03,07/03/2006 00:00:00
398.63,07/04/2006 00:00:00
394.77,07/05/2006 00:00:00
397.19,07/06/2006 00:00:00
396.32,07/07/2006 00:00:00
397.97,07/10/2006 00:00:00
394.74,07/11/2006 00:00:00
395.49,07/12/2006 00:00:00
390.07,07/13/2006 00:00:00
386.17,07/14/2006 00:00:00
384.24,07/17/2006 00:00:00
383.38,07/18/2006 00:00:00
390.31,07/19/2006 00:00:00
391.85,07/20/2006 00:00:00
388.68,07/21/2006 00:00:00
393.97,07/24/2006 00:00:00
393.09,07/25/2006 00:00:00
393.62,07/26/2006 00:00:00
397.52,07/27/2006 00:00:00
399.6,07/28/2006 00:00:00
398.38,07/31/2006 00:00:00
396,08/01/2006 00:00:00
400.77,08/02/2006 00:00:00
398.67,08/03/2006 00:00:00
402.09,08/04/2006 00:00:00
398.15,08/07/2006 00:00:00
399.27,08/08/2006 00:00:00
401.68,08/09/2006 00:00:00
399.11,08/10/2006 00:00:00
399.24,08/11/2006 00:00:00
405.24,08/15/2006 00:00:00
407.49,08/16/2006 00:00:00
408.38,08/17/2006 00:00:00
408.67,08/18/2006 00:00:00
407.71,08/21/2006 00:00:00
408.97,08/22/2006 00:00:00
407.62,08/23/2006 00:00:00
408.96,08/24/2006 00:00:00
409.14,08/25/2006 00:00:00
411.15,08/28/2006 00:00:00
412.29,08/29/2006 00:00:00
413.81,08/30/2006 00:00:00
413.58,08/31/2006 00:00:00
414.49,09/01/2006 00:00:00
416.79,09/04/2006 00:00:00
414.9,09/05/2006 00:00:00
411.66,09/06/2006 00:00:00
409.3,09/07/2006 00:00:00
410.32,09/08/2006 00:00:00
409.48,09/11/2006 00:00:00
412.55,09/12/2006 00:00:00
413.56,09/13/2006 00:00:00
413.92,09/14/2006 00:00:00
415.52,09/15/2006 00:00:00
415.36,09/18/2006 00:00:00
412.96,09/19/2006 00:00:00
417.8,09/20/2006 00:00:00
419.46,09/21/2006 00:00:00
416,09/22/2006 00:00:00
416.16,09/25/2006 00:00:00
419.47,09/26/2006 00:00:00
422.93,09/27/2006 00:00:00
422.48,09/28/2006 00:00:00
422.92,09/29/2006 00:00:00
422.64,10/02/2006 00:00:00
422.17,10/03/2006 00:00:00
425.99,10/04/2006 00:00:00
427.71,10/05/2006 00:00:00
427.15,10/06/2006 00:00:00
427.63,10/09/2006 00:00:00
429.29,10/10/2006 00:00:00
430.17,10/11/2006 00:00:00
433.17,10/12/2006 00:00:00
432.87,10/13/2006 00:00:00
433.01,10/16/2006 00:00:00
428.63,10/17/2006 00:00:00
432.1,10/18/2006 00:00:00
432.58,10/19/2006 00:00:00
432.68,10/20/2006 00:00:00
434.01,10/23/2006 00:00:00
434.36,10/24/2006 00:00:00
435.19,10/25/2006 00:00:00
436.21,10/26/2006 00:00:00
436.01,10/27/2006 00:00:00
435.69,10/30/2006 00:00:00
437.15,11/01/2006 00:00:00
435.27,11/02/2006 00:00:00
436.82,11/03/2006 00:00:00
440.99,11/06/2006 00:00:00
442.09,11/07/2006 00:00:00
442.34,11/08/2006 00:00:00
442.78,11/09/2006 00:00:00
442.67,11/10/2006 00:00:00
443.21,11/13/2006 00:00:00
442.8,11/14/2006 00:00:00
445.81,11/15/2006 00:00:00
446.16,11/16/2006 00:00:00
444.5,11/17/2006 00:00:00
444.86,11/20/2006 00:00:00
445.67,11/21/2006 00:00:00
445.67,11/22/2006 00:00:00
444.47,11/23/2006 00:00:00
442.09,11/24/2006 00:00:00
436.42,11/27/2006 00:00:00
435.52,11/28/2006 00:00:00
440.68,11/29/2006 00:00:00
438.45,11/30/2006 00:00:00
435.43,12/01/2006 00:00:00
437.21,12/04/2006 00:00:00
440.97,12/05/2006 00:00:00
441.67,12/06/2006 00:00:00
442.62,12/07/2006 00:00:00
442.95,12/08/2006 00:00:00
445.28,12/11/2006 00:00:00
446.19,12/12/2006 00:00:00
448.83,12/13/2006 00:00:00
451.36,12/14/2006 00:00:00
453.78,12/15/2006 00:00:00
454.27,12/18/2006 00:00:00
452.09,12/19/2006 00:00:00
453.97,12/20/2006 00:00:00
453.55,12/21/2006 00:00:00
450.12,12/26/2006 00:00:00
454.39,12/27/2006 00:00:00
454.66,12/28/2006 00:00:00
454.35,12/29/2006 00:00:00
459.87,01/02/2007 00:00:00
459.92,01/03/2007 00:00:00
458.6,01/04/2007 00:00:00
455.41,01/05/2007 00:00:00
455.68,01/08/2007 00:00:00
457.36,01/09/2007 00:00:00
454.87,01/10/2007 00:00:00
459.68,01/11/2007 00:00:00
461.11,01/12/2007 00:00:00
463.11,01/15/2007 00:00:00
462.11,01/16/2007 00:00:00
460.9,01/17/2007 00:00:00
460.29,01/18/2007 00:00:00
463.87,01/19/2007 00:00:00
462,01/22/2007 00:00:00
461.92,01/23/2007 00:00:00
465.99,01/24/2007 00:00:00
463,01/25/2007 00:00:00
460.8,01/26/2007 00:00:00
462.28,01/29/2007 00:00:00
463.52,01/30/2007 00:00:00
462.54,01/31/2007 00:00:00
465.69,02/01/2007 00:00:00
468.67,02/02/2007 00:00:00
468.32,02/05/2007 00:00:00
469.74,02/06/2007 00:00:00
