NavVal,NavDate
270.75,12/01/2014 00:00:00
271.31,12/02/2014 00:00:00
271.99,12/03/2014 00:00:00
270.98,12/04/2014 00:00:00
271.83,12/05/2014 00:00:00
271.64,12/08/2014 00:00:00
270.88,12/09/2014 00:00:00
269.51,12/10/2014 00:00:00
269.28,12/11/2014 00:00:00
268.08,12/12/2014 00:00:00
266.87,12/15/2014 00:00:00
266.04,12/16/2014 00:00:00
268.08,12/17/2014 00:00:00
270.79,12/18/2014 00:00:00
272,12/19/2014 00:00:00
272.4,12/22/2014 00:00:00
272.85,12/23/2014 00:00:00
272.9,12/24/2014 00:00:00
273.74,12/29/2014 00:00:00
273.2,12/30/2014 00:00:00
272.9,12/31/2014 00:00:00
273.35,01/02/2015 00:00:00
272.02,01/05/2015 00:00:00
271.08,01/06/2015 00:00:00
272.63,01/07/2015 00:00:00
274.52,01/08/2015 00:00:00
273.73,01/09/2015 00:00:00
273.74,01/12/2015 00:00:00
274.03,01/13/2015 00:00:00
273.67,01/14/2015 00:00:00
275.33,01/15/2015 00:00:00
276.73,01/16/2015 00:00:00
276.49,01/19/2015 00:00:00
277.08,01/20/2015 00:00:00
277.51,01/21/2015 00:00:00
280.6,01/22/2015 00:00:00
282.47,01/23/2015 00:00:00
282.67,01/26/2015 00:00:00
281.49,01/27/2015 00:00:00
280.87,01/28/2015 00:00:00
281.06,01/29/2015 00:00:00
280.72,01/30/2015 00:00:00
281.03,02/02/2015 00:00:00
281.45,02/03/2015 00:00:00
281.7,02/04/2015 00:00:00
282.56,02/05/2015 00:00:00
282.26,02/06/2015 00:00:00
281.51,02/09/2015 00:00:00
281.72,02/10/2015 00:00:00
281.79,02/11/2015 00:00:00
282.9,02/12/2015 00:00:00
283.59,02/13/2015 00:00:00
283.31,02/16/2015 00:00:00
283.38,02/17/2015 00:00:00
283.99,02/18/2015 00:00:00
283.92,02/19/2015 00:00:00
284.43,02/20/2015 00:00:00
284.59,02/23/2015 00:00:00
284.96,02/24/2015 00:00:00
285,02/25/2015 00:00:00
286.27,02/26/2015 00:00:00
286.46,02/27/2015 00:00:00
286.73,03/02/2015 00:00:00
285.75,03/03/2015 00:00:00
286.17,03/04/2015 00:00:00
287.13,03/05/2015 00:00:00
286.48,03/06/2015 00:00:00
286.02,03/09/2015 00:00:00
285.2,03/10/2015 00:00:00
286.75,03/11/2015 00:00:00
287.5,03/12/2015 00:00:00
287.86,03/13/2015 00:00:00
289,03/16/2015 00:00:00
288.44,03/17/2015 00:00:00
289.76,03/18/2015 00:00:00
290.37,03/19/2015 00:00:00
291.19,03/20/2015 00:00:00
290.22,03/23/2015 00:00:00
291,03/24/2015 00:00:00
288.84,03/25/2015 00:00:00
287.82,03/26/2015 00:00:00
288.01,03/27/2015 00:00:00
289.53,03/30/2015 00:00:00
288.88,03/31/2015 00:00:00
289.15,04/01/2015 00:00:00
289.14,04/02/2015 00:00:00
290.46,04/07/2015 00:00:00
291.28,04/08/2015 00:00:00
292.41,04/09/2015 00:00:00
