NavVal,NavDate
409.59,04/17/2006 00:00:00
413.12,04/18/2006 00:00:00
415.43,04/19/2006 00:00:00
420.06,04/20/2006 00:00:00
420.65,04/21/2006 00:00:00
418.36,04/24/2006 00:00:00
413.39,04/25/2006 00:00:00
413.98,04/26/2006 00:00:00
411.21,04/27/2006 00:00:00
406.73,05/01/2006 00:00:00
407.2,05/02/2006 00:00:00
405.98,05/03/2006 00:00:00
407.31,05/04/2006 00:00:00
408.65,05/05/2006 00:00:00
411.22,05/08/2006 00:00:00
410.35,05/09/2006 00:00:00
408.73,05/10/2006 00:00:00
405.71,05/11/2006 00:00:00
395.89,05/12/2006 00:00:00
393.73,05/15/2006 00:00:00
387.82,05/16/2006 00:00:00
380.46,05/17/2006 00:00:00
379.38,05/18/2006 00:00:00
382.35,05/19/2006 00:00:00
373.46,05/22/2006 00:00:00
376.89,05/23/2006 00:00:00
376.93,05/25/2006 00:00:00
385.78,05/26/2006 00:00:00
385.35,05/29/2006 00:00:00
375.1,05/30/2006 00:00:00
378.24,05/31/2006 00:00:00
382.05,06/01/2006 00:00:00
377.2,06/05/2006 00:00:00
371.5,06/06/2006 00:00:00
372.48,06/07/2006 00:00:00
365.06,06/08/2006 00:00:00
370.9,06/09/2006 00:00:00
365.9,06/12/2006 00:00:00
358.87,06/13/2006 00:00:00
360.15,06/14/2006 00:00:00
371.48,06/15/2006 00:00:00
369.7,06/16/2006 00:00:00
372.88,06/19/2006 00:00:00
372.44,06/20/2006 00:00:00
372.82,06/21/2006 00:00:00
374.22,06/23/2006 00:00:00
373.55,06/26/2006 00:00:00
368.9,06/27/2006 00:00:00
369.63,06/28/2006 00:00:00
378.32,06/29/2006 00:00:00
379.7,06/30/2006 00:00:00
379.66,07/03/2006 00:00:00
379.61,07/04/2006 00:00:00
375.51,07/05/2006 00:00:00
378.88,07/06/2006 00:00:00
374.49,07/07/2006 00:00:00
378.24,07/10/2006 00:00:00
375.99,07/11/2006 00:00:00
374.22,07/12/2006 00:00:00
367.81,07/13/2006 00:00:00
361.84,07/14/2006 00:00:00
363.69,07/17/2006 00:00:00
361.73,07/18/2006 00:00:00
369,07/19/2006 00:00:00
366.01,07/20/2006 00:00:00
360.69,07/21/2006 00:00:00
369.88,07/24/2006 00:00:00
373.87,07/25/2006 00:00:00
372.82,07/26/2006 00:00:00
370.74,07/27/2006 00:00:00
374.03,07/28/2006 00:00:00
372.83,07/31/2006 00:00:00
369.88,08/01/2006 00:00:00
371.31,08/02/2006 00:00:00
371.37,08/03/2006 00:00:00
371.23,08/04/2006 00:00:00
368.72,08/07/2006 00:00:00
367.35,08/08/2006 00:00:00
365.39,08/09/2006 00:00:00
365.41,08/10/2006 00:00:00
363.61,08/11/2006 00:00:00
369.99,08/15/2006 00:00:00
374.41,08/16/2006 00:00:00
377.14,08/17/2006 00:00:00
377.95,08/18/2006 00:00:00
373.38,08/21/2006 00:00:00
376.69,08/22/2006 00:00:00
374.24,08/23/2006 00:00:00
374.77,08/24/2006 00:00:00
374.8,08/25/2006 00:00:00
377.16,08/28/2006 00:00:00
382.17,08/29/2006 00:00:00
383.79,08/30/2006 00:00:00
385.85,08/31/2006 00:00:00
387.6,09/01/2006 00:00:00
387.87,09/04/2006 00:00:00
387.78,09/05/2006 00:00:00
385.15,09/06/2006 00:00:00
384.41,09/07/2006 00:00:00
389.31,09/08/2006 00:00:00
389.14,09/11/2006 00:00:00
397.49,09/12/2006 00:00:00
398.91,09/13/2006 00:00:00
398.24,09/14/2006 00:00:00
400.57,09/15/2006 00:00:00
398.99,09/18/2006 00:00:00
398.25,09/19/2006 00:00:00
402.1,09/20/2006 00:00:00
401.86,09/21/2006 00:00:00
399.27,09/22/2006 00:00:00
403.77,09/25/2006 00:00:00
407.57,09/26/2006 00:00:00
408.4,09/27/2006 00:00:00
408.78,09/28/2006 00:00:00
408.95,09/29/2006 00:00:00
409.35,10/02/2006 00:00:00
409.8,10/03/2006 00:00:00
414.2,10/04/2006 00:00:00
418.99,10/05/2006 00:00:00
419.1,10/06/2006 00:00:00
418.65,10/09/2006 00:00:00
422.07,10/10/2006 00:00:00
419.34,10/11/2006 00:00:00
422.32,10/12/2006 00:00:00
424.52,10/13/2006 00:00:00
426.19,10/16/2006 00:00:00
421.95,10/17/2006 00:00:00
425.18,10/18/2006 00:00:00
424,10/19/2006 00:00:00
424.24,10/20/2006 00:00:00
427.5,10/23/2006 00:00:00
429.47,10/24/2006 00:00:00
432.58,10/25/2006 00:00:00
431.45,10/26/2006 00:00:00
425.05,10/27/2006 00:00:00
426.3,10/30/2006 00:00:00
423.87,11/01/2006 00:00:00
422.68,11/02/2006 00:00:00
421.61,11/03/2006 00:00:00
426.05,11/06/2006 00:00:00
426.7,11/07/2006 00:00:00
426.86,11/08/2006 00:00:00
424.17,11/09/2006 00:00:00
424.13,11/10/2006 00:00:00
427.76,11/13/2006 00:00:00
430.25,11/14/2006 00:00:00
433.28,11/15/2006 00:00:00
434.95,11/16/2006 00:00:00
435.31,11/17/2006 00:00:00
436.51,11/20/2006 00:00:00
439.26,11/21/2006 00:00:00
440.06,11/22/2006 00:00:00
439.84,11/23/2006 00:00:00
433.77,11/24/2006 00:00:00
424.59,11/27/2006 00:00:00
423.26,11/28/2006 00:00:00
429.88,11/29/2006 00:00:00
427.97,11/30/2006 00:00:00
421.87,12/01/2006 00:00:00
426.91,12/04/2006 00:00:00
430.72,12/05/2006 00:00:00
430.36,12/06/2006 00:00:00
429.79,12/07/2006 00:00:00
427.67,12/08/2006 00:00:00
431.56,12/11/2006 00:00:00
430.41,12/12/2006 00:00:00
433.68,12/13/2006 00:00:00
438.37,12/14/2006 00:00:00
438.05,12/15/2006 00:00:00
438.7,12/18/2006 00:00:00
436.31,12/19/2006 00:00:00
440.81,12/20/2006 00:00:00
441.43,12/21/2006 00:00:00
441.86,12/26/2006 00:00:00
447.95,12/27/2006 00:00:00
446.31,12/28/2006 00:00:00
444.23,12/29/2006 00:00:00
443.81,01/02/2007 00:00:00
445.2,01/03/2007 00:00:00
444.7,01/04/2007 00:00:00
443.35,01/05/2007 00:00:00
442.2,01/08/2007 00:00:00
444.57,01/09/2007 00:00:00
444,01/10/2007 00:00:00
