NavVal,NavDate
250.04,11/02/2016 00:00:00
249.5,11/03/2016 00:00:00
249.43,11/04/2016 00:00:00
250.38,11/07/2016 00:00:00
250.19,11/08/2016 00:00:00
250.71,11/09/2016 00:00:00
250.2,11/10/2016 00:00:00
249.51,11/11/2016 00:00:00
249.39,11/14/2016 00:00:00
249.94,11/15/2016 00:00:00
249.91,11/16/2016 00:00:00
250.02,11/17/2016 00:00:00
249.69,11/18/2016 00:00:00
250.23,11/21/2016 00:00:00
250.47,11/22/2016 00:00:00
250.18,11/23/2016 00:00:00
250.58,11/24/2016 00:00:00
250.49,11/25/2016 00:00:00
250.63,11/28/2016 00:00:00
250.5,11/29/2016 00:00:00
250.45,11/30/2016 00:00:00
249.89,12/01/2016 00:00:00
250.05,12/02/2016 00:00:00
249.78,12/05/2016 00:00:00
249.82,12/06/2016 00:00:00
250.69,12/07/2016 00:00:00
250.62,12/08/2016 00:00:00
250.98,12/09/2016 00:00:00
250.62,12/12/2016 00:00:00
250.92,12/13/2016 00:00:00
251.15,12/14/2016 00:00:00
250.99,12/15/2016 00:00:00
251.45,12/16/2016 00:00:00
251.81,12/19/2016 00:00:00
251.98,12/20/2016 00:00:00
252.02,12/21/2016 00:00:00
251.62,12/22/2016 00:00:00
251.82,12/23/2016 00:00:00
251.83,12/27/2016 00:00:00
251.84,12/28/2016 00:00:00
251.83,12/29/2016 00:00:00
251.36,12/30/2016 00:00:00
251.36,12/31/2016 00:00:00
251.21,01/02/2017 00:00:00
251.44,01/03/2017 00:00:00
251.72,01/04/2017 00:00:00
251.75,01/05/2017 00:00:00
251.47,01/06/2017 00:00:00
251.6,01/09/2017 00:00:00
251.63,01/10/2017 00:00:00
251.94,01/11/2017 00:00:00
251.51,01/12/2017 00:00:00
251.43,01/13/2017 00:00:00
251.28,01/16/2017 00:00:00
251.18,01/17/2017 00:00:00
251.13,01/18/2017 00:00:00
250.92,01/19/2017 00:00:00
250.56,01/20/2017 00:00:00
250.59,01/23/2017 00:00:00
250.7,01/24/2017 00:00:00
250.58,01/25/2017 00:00:00
250.48,01/26/2017 00:00:00
250.19,01/27/2017 00:00:00
249.84,01/30/2017 00:00:00
249.64,01/31/2017 00:00:00
248.76,02/01/2017 00:00:00
249.27,02/02/2017 00:00:00
249.42,02/03/2017 00:00:00
249.55,02/06/2017 00:00:00
250,02/07/2017 00:00:00
250.27,02/08/2017 00:00:00
250.59,02/09/2017 00:00:00
250.56,02/10/2017 00:00:00
250.79,02/13/2017 00:00:00
250.7,02/14/2017 00:00:00
250.62,02/15/2017 00:00:00
250.56,02/16/2017 00:00:00
250.62,02/17/2017 00:00:00
250.73,02/20/2017 00:00:00
250.99,02/21/2017 00:00:00
251.09,02/22/2017 00:00:00
251.19,02/23/2017 00:00:00
251.41,02/24/2017 00:00:00
251.42,02/27/2017 00:00:00
251.16,02/28/2017 00:00:00
251.4,03/01/2017 00:00:00
251.36,03/02/2017 00:00:00
251.12,03/03/2017 00:00:00
250.73,03/06/2017 00:00:00
250.45,03/07/2017 00:00:00
250.15,03/08/2017 00:00:00
249.69,03/09/2017 00:00:00
249.51,03/10/2017 00:00:00
249.61,03/13/2017 00:00:00
249.73,03/14/2017 00:00:00
250.13,03/15/2017 00:00:00
249.64,03/16/2017 00:00:00
249.56,03/17/2017 00:00:00
249.67,03/20/2017 00:00:00
249.19,03/21/2017 00:00:00
249.3,03/22/2017 00:00:00
249.42,03/23/2017 00:00:00
249.59,03/24/2017 00:00:00
249.38,03/27/2017 00:00:00
249.74,03/28/2017 00:00:00
250.23,03/29/2017 00:00:00
250.33,03/30/2017 00:00:00
250.2,03/31/2017 00:00:00
250.4,04/03/2017 00:00:00
250.58,04/04/2017 00:00:00
250.9,04/05/2017 00:00:00
250.95,04/06/2017 00:00:00
251.28,04/07/2017 00:00:00
251.39,04/10/2017 00:00:00
251.28,04/11/2017 00:00:00
251.1,04/12/2017 00:00:00
250.93,04/13/2017 00:00:00
250.77,04/18/2017 00:00:00
250.42,04/19/2017 00:00:00
250.34,04/20/2017 00:00:00
250.39,04/21/2017 00:00:00
250.71,04/24/2017 00:00:00
250.41,04/25/2017 00:00:00
250.49,04/26/2017 00:00:00
250.76,04/27/2017 00:00:00
250.5,04/28/2017 00:00:00
250.5,04/30/2017 00:00:00
250.47,05/02/2017 00:00:00
250.53,05/03/2017 00:00:00
250.39,05/04/2017 00:00:00
250.31,05/05/2017 00:00:00
250.45,05/08/2017 00:00:00
250.45,05/09/2017 00:00:00
250.71,05/10/2017 00:00:00
250.52,05/11/2017 00:00:00
250.7,05/12/2017 00:00:00
250.52,05/15/2017 00:00:00
250.4,05/16/2017 00:00:00
249.77,05/17/2017 00:00:00
249.53,05/18/2017 00:00:00
249.67,05/19/2017 00:00:00
249.69,05/22/2017 00:00:00
249.96,05/23/2017 00:00:00
250.23,05/24/2017 00:00:00
250.39,05/25/2017 00:00:00
