NavVal,NavDate
2688.05,04/17/2006 00:00:00
2700.75,04/18/2006 00:00:00
2710.69,04/19/2006 00:00:00
2711.66,04/20/2006 00:00:00
2713.05,04/21/2006 00:00:00
2716.92,04/24/2006 00:00:00
2712.02,04/25/2006 00:00:00
2709.56,04/26/2006 00:00:00
2714.26,04/27/2006 00:00:00
2717.88,05/01/2006 00:00:00
2718.5,05/02/2006 00:00:00
2718.74,05/03/2006 00:00:00
2717.6,05/04/2006 00:00:00
2721.15,05/05/2006 00:00:00
2723.45,05/08/2006 00:00:00
2719.76,05/09/2006 00:00:00
2721.55,05/10/2006 00:00:00
2715.13,05/11/2006 00:00:00
2693.48,05/12/2006 00:00:00
2669.26,05/15/2006 00:00:00
2681.2,05/16/2006 00:00:00
2664.49,05/17/2006 00:00:00
2663.76,05/18/2006 00:00:00
2663.91,05/19/2006 00:00:00
2643.79,05/22/2006 00:00:00
2646.1,05/23/2006 00:00:00
2637.47,05/25/2006 00:00:00
2649.74,05/26/2006 00:00:00
2651.05,05/29/2006 00:00:00
2638.85,05/30/2006 00:00:00
2637.1,05/31/2006 00:00:00
2642.59,06/01/2006 00:00:00
2648.43,06/05/2006 00:00:00
2642.06,06/06/2006 00:00:00
2646.65,06/07/2006 00:00:00
2637.02,06/08/2006 00:00:00
2642.35,06/09/2006 00:00:00
2638.59,06/12/2006 00:00:00
2622.71,06/13/2006 00:00:00
2625.15,06/14/2006 00:00:00
2630.93,06/15/2006 00:00:00
2631.29,06/16/2006 00:00:00
2625.17,06/19/2006 00:00:00
2618.2,06/20/2006 00:00:00
2613.96,06/21/2006 00:00:00
2589.18,06/23/2006 00:00:00
2578.24,06/26/2006 00:00:00
2570.61,06/27/2006 00:00:00
2578.95,06/28/2006 00:00:00
2589.48,06/29/2006 00:00:00
2608.81,06/30/2006 00:00:00
2619.66,07/03/2006 00:00:00
2621.09,07/04/2006 00:00:00
2615.72,07/05/2006 00:00:00
2626,07/06/2006 00:00:00
2631.64,07/07/2006 00:00:00
2641.14,07/10/2006 00:00:00
2648.13,07/11/2006 00:00:00
2647.13,07/12/2006 00:00:00
2636.99,07/13/2006 00:00:00
2635.41,07/14/2006 00:00:00
2637.63,07/17/2006 00:00:00
2643.6,07/18/2006 00:00:00
2654.25,07/19/2006 00:00:00
2667.56,07/20/2006 00:00:00
2674.38,07/21/2006 00:00:00
2678.5,07/24/2006 00:00:00
2682.26,07/25/2006 00:00:00
2690.65,07/26/2006 00:00:00
2700.22,07/27/2006 00:00:00
2703.1,07/28/2006 00:00:00
2704.24,07/31/2006 00:00:00
2701.26,08/01/2006 00:00:00
2707.14,08/02/2006 00:00:00
2711.71,08/03/2006 00:00:00
2723.73,08/04/2006 00:00:00
2729.95,08/07/2006 00:00:00
2733.07,08/08/2006 00:00:00
2738.51,08/09/2006 00:00:00
2735.62,08/10/2006 00:00:00
2737.78,08/11/2006 00:00:00
2738.77,08/15/2006 00:00:00
2751.54,08/16/2006 00:00:00
2761.7,08/17/2006 00:00:00
2758.84,08/18/2006 00:00:00
2758.11,08/21/2006 00:00:00
2759.47,08/22/2006 00:00:00
2749.92,08/23/2006 00:00:00
2741.68,08/24/2006 00:00:00
2739.38,08/25/2006 00:00:00
2740.28,08/28/2006 00:00:00
2740.38,08/29/2006 00:00:00
