NavVal,NavDate
1000,05/15/2007 00:00:00
1005.53,10/01/2007 00:00:00
1023.46,10/02/2007 00:00:00
1017.78,10/03/2007 00:00:00
1010.85,10/04/2007 00:00:00
1022.27,10/05/2007 00:00:00
1029.14,10/08/2007 00:00:00
1027.17,10/09/2007 00:00:00
1031.41,10/10/2007 00:00:00
1038.96,10/11/2007 00:00:00
1035.85,10/12/2007 00:00:00
1039.13,10/15/2007 00:00:00
1029.94,10/16/2007 00:00:00
1025.82,10/17/2007 00:00:00
1027.6,10/18/2007 00:00:00
1021.08,10/19/2007 00:00:00
996.65,10/22/2007 00:00:00
1008.01,10/23/2007 00:00:00
1007.28,10/24/2007 00:00:00
1011.37,10/25/2007 00:00:00
1021.7,10/26/2007 00:00:00
1047.63,10/29/2007 00:00:00
1041.13,10/30/2007 00:00:00
1037.47,10/31/2007 00:00:00
1014.28,11/02/2007 00:00:00
996.11,11/05/2007 00:00:00
999.85,11/06/2007 00:00:00
1002.31,11/07/2007 00:00:00
975.18,11/08/2007 00:00:00
974.29,11/09/2007 00:00:00
945.35,11/12/2007 00:00:00
943.48,11/13/2007 00:00:00
964.01,11/14/2007 00:00:00
959.74,11/15/2007 00:00:00
942.64,11/16/2007 00:00:00
939.88,11/19/2007 00:00:00
927.35,11/20/2007 00:00:00
898.14,11/21/2007 00:00:00
890.14,11/22/2007 00:00:00
893.83,11/23/2007 00:00:00
917.34,11/26/2007 00:00:00
907.36,11/27/2007 00:00:00
914.3,11/28/2007 00:00:00
933.18,11/29/2007 00:00:00
945.67,11/30/2007 00:00:00
942.76,12/03/2007 00:00:00
939.86,12/04/2007 00:00:00
953.4,12/05/2007 00:00:00
966.66,12/06/2007 00:00:00
965.08,12/07/2007 00:00:00
953.5,12/10/2007 00:00:00
969.78,12/11/2007 00:00:00
957.94,12/12/2007 00:00:00
948.44,12/13/2007 00:00:00
939.38,12/14/2007 00:00:00
901.49,12/17/2007 00:00:00
899.49,12/18/2007 00:00:00
907.64,12/19/2007 00:00:00
906.79,12/20/2007 00:00:00
922.09,12/21/2007 00:00:00
935.04,12/24/2007 00:00:00
927.32,12/27/2007 00:00:00
915.55,12/28/2007 00:00:00
929,12/31/2007 00:00:00
914.82,01/02/2008 00:00:00
903.08,01/03/2008 00:00:00
905.85,01/04/2008 00:00:00
888.17,01/07/2008 00:00:00
890.59,01/08/2008 00:00:00
895.34,01/09/2008 00:00:00
885.77,01/10/2008 00:00:00
879.43,01/11/2008 00:00:00
870.84,01/14/2008 00:00:00
861.97,01/15/2008 00:00:00
842.04,01/16/2008 00:00:00
850.45,01/17/2008 00:00:00
850.48,01/18/2008 00:00:00
823.41,01/21/2008 00:00:00
770.93,01/22/2008 00:00:00
800.26,01/23/2008 00:00:00
799.55,01/24/2008 00:00:00
832.97,01/25/2008 00:00:00
809.53,01/28/2008 00:00:00
814.09,01/29/2008 00:00:00
804.68,01/30/2008 00:00:00
811.78,01/31/2008 00:00:00
831.86,02/01/2008 00:00:00
845.77,02/04/2008 00:00:00
848.48,02/05/2008 00:00:00
826.06,02/06/2008 00:00:00
831.89,02/07/2008 00:00:00
835.67,02/08/2008 00:00:00
820.24,02/11/2008 00:00:00
822.06,02/12/2008 00:00:00
822.23,02/13/2008 00:00:00
842.33,02/14/2008 00:00:00
834.33,02/15/2008 00:00:00
834.28,02/18/2008 00:00:00
839.73,02/19/2008 00:00:00
828.25,02/20/2008 00:00:00
826.69,02/21/2008 00:00:00
821.23,02/22/2008 00:00:00
828.59,02/25/2008 00:00:00
832.29,02/26/2008 00:00:00
833.5,02/27/2008 00:00:00
829.15,02/28/2008 00:00:00
817.27,02/29/2008 00:00:00
795.4,03/03/2008 00:00:00
789.13,03/04/2008 00:00:00
784.71,03/05/2008 00:00:00
789.18,03/06/2008 00:00:00
770.19,03/07/2008 00:00:00
756.43,03/10/2008 00:00:00
764.93,03/11/2008 00:00:00
768.26,03/12/2008 00:00:00
743.22,03/13/2008 00:00:00
739.98,03/14/2008 00:00:00
706.46,03/17/2008 00:00:00
711.86,03/18/2008 00:00:00
734.67,03/19/2008 00:00:00
731.61,03/20/2008 00:00:00
766.07,03/25/2008 00:00:00
760.86,03/26/2008 00:00:00
757.57,03/27/2008 00:00:00
764.41,03/28/2008 00:00:00
758.67,03/31/2008 00:00:00
774.24,04/01/2008 00:00:00
792.68,04/02/2008 00:00:00
797.03,04/03/2008 00:00:00
790.98,04/04/2008 00:00:00
795.03,04/07/2008 00:00:00
787.12,04/08/2008 00:00:00
779.49,04/09/2008 00:00:00
782.88,04/10/2008 00:00:00
787.43,04/11/2008 00:00:00
773.71,04/14/2008 00:00:00
780.13,04/15/2008 00:00:00
781.85,04/16/2008 00:00:00
791.33,04/17/2008 00:00:00
791.77,04/18/2008 00:00:00
797.61,04/21/2008 00:00:00
791.77,04/22/2008 00:00:00
803.12,04/23/2008 00:00:00
809.84,04/24/2008 00:00:00
810.71,04/25/2008 00:00:00
815.75,04/28/2008 00:00:00
817.51,04/29/2008 00:00:00
822.01,04/30/2008 00:00:00
840.23,05/02/2008 00:00:00
838.47,05/05/2008 00:00:00
832.01,05/06/2008 00:00:00
830.13,05/07/2008 00:00:00
820.84,05/08/2008 00:00:00
819.66,05/09/2008 00:00:00
823.91,05/13/2008 00:00:00
823.27,05/14/2008 00:00:00
826.76,05/15/2008 00:00:00
832.36,05/16/2008 00:00:00
838.4,05/19/2008 00:00:00
822.1,05/20/2008 00:00:00
813.52,05/21/2008 00:00:00
807.15,05/22/2008 00:00:00
801.41,05/23/2008 00:00:00
793.98,05/26/2008 00:00:00
802.1,05/27/2008 00:00:00
803.43,05/28/2008 00:00:00
814.04,05/29/2008 00:00:00
813.25,05/30/2008 00:00:00
811.53,06/02/2008 00:00:00
803.55,06/03/2008 00:00:00
808.47,06/04/2008 00:00:00
803.05,06/05/2008 00:00:00
796.36,06/06/2008 00:00:00
787.56,06/09/2008 00:00:00
778.43,06/10/2008 00:00:00
776.83,06/11/2008 00:00:00
765.53,06/12/2008 00:00:00
766.71,06/13/2008 00:00:00
767.62,06/16/2008 00:00:00
770.9,06/17/2008 00:00:00
772.15,06/18/2008 00:00:00
760.77,06/19/2008 00:00:00
747.56,06/20/2008 00:00:00
739.82,06/24/2008 00:00:00
746.05,06/25/2008 00:00:00
739.96,06/26/2008 00:00:00
728.58,06/27/2008 00:00:00
727.24,06/30/2008 00:00:00
720.48,07/01/2008 00:00:00
714.77,07/02/2008 00:00:00
713.66,07/03/2008 00:00:00
714.11,07/04/2008 00:00:00
716.16,07/07/2008 00:00:00
703.74,07/08/2008 00:00:00
713.56,07/09/2008 00:00:00
709.76,07/10/2008 00:00:00
712.5,07/11/2008 00:00:00
708.51,07/14/2008 00:00:00
687.5,07/15/2008 00:00:00
691.7,07/16/2008 00:00:00
701.52,07/17/2008 00:00:00
699.69,07/18/2008 00:00:00
717.32,07/21/2008 00:00:00
716.24,07/22/2008 00:00:00
735.34,07/23/2008 00:00:00
740.89,07/24/2008 00:00:00
726.27,07/25/2008 00:00:00
720.37,07/28/2008 00:00:00
712.33,07/29/2008 00:00:00
724.46,07/30/2008 00:00:00
