NavVal,NavDate
125.76,04/17/2006 00:00:00
125.83,04/18/2006 00:00:00
125.84,04/19/2006 00:00:00
125.95,04/20/2006 00:00:00
125.92,04/21/2006 00:00:00
126.01,04/24/2006 00:00:00
125.7,04/25/2006 00:00:00
125.62,04/26/2006 00:00:00
125.75,04/27/2006 00:00:00
125.93,05/01/2006 00:00:00
125.87,05/02/2006 00:00:00
125.77,05/03/2006 00:00:00
125.63,05/04/2006 00:00:00
125.77,05/05/2006 00:00:00
125.75,05/08/2006 00:00:00
125.7,05/09/2006 00:00:00
125.87,05/10/2006 00:00:00
125.55,05/11/2006 00:00:00
125.55,05/12/2006 00:00:00
125.91,05/15/2006 00:00:00
126.12,05/16/2006 00:00:00
125.78,05/17/2006 00:00:00
125.99,05/18/2006 00:00:00
126.11,05/19/2006 00:00:00
126.49,05/22/2006 00:00:00
126.44,05/23/2006 00:00:00
126.62,05/25/2006 00:00:00
126.63,05/26/2006 00:00:00
126.64,05/29/2006 00:00:00
126.38,05/30/2006 00:00:00
126.08,05/31/2006 00:00:00
125.97,06/01/2006 00:00:00
126.14,06/05/2006 00:00:00
125.87,06/06/2006 00:00:00
125.82,06/07/2006 00:00:00
126.21,06/08/2006 00:00:00
126.22,06/09/2006 00:00:00
126.34,06/12/2006 00:00:00
126.5,06/13/2006 00:00:00
126.2,06/14/2006 00:00:00
125.8,06/15/2006 00:00:00
125.87,06/16/2006 00:00:00
125.65,06/19/2006 00:00:00
125.49,06/20/2006 00:00:00
125.33,06/21/2006 00:00:00
124.93,06/23/2006 00:00:00
124.8,06/26/2006 00:00:00
124.82,06/27/2006 00:00:00
124.92,06/28/2006 00:00:00
125.28,06/29/2006 00:00:00
125.28,06/30/2006 00:00:00
125.27,07/03/2006 00:00:00
125.39,07/04/2006 00:00:00
125.07,07/05/2006 00:00:00
125.11,07/06/2006 00:00:00
125.36,07/07/2006 00:00:00
125.33,07/10/2006 00:00:00
125.57,07/11/2006 00:00:00
125.39,07/12/2006 00:00:00
125.61,07/13/2006 00:00:00
125.95,07/14/2006 00:00:00
125.94,07/17/2006 00:00:00
125.79,07/18/2006 00:00:00
125.95,07/19/2006 00:00:00
126,07/20/2006 00:00:00
126.2,07/21/2006 00:00:00
126.22,07/24/2006 00:00:00
126.26,07/25/2006 00:00:00
126.1,07/26/2006 00:00:00
126.32,07/27/2006 00:00:00
126.47,07/28/2006 00:00:00
126.53,07/31/2006 00:00:00
126.55,08/01/2006 00:00:00
126.53,08/02/2006 00:00:00
126.24,08/03/2006 00:00:00
126.55,08/04/2006 00:00:00
126.69,08/07/2006 00:00:00
126.73,08/08/2006 00:00:00
126.57,08/09/2006 00:00:00
126.6,08/10/2006 00:00:00
126.3,08/11/2006 00:00:00
126.36,08/15/2006 00:00:00
126.57,08/16/2006 00:00:00
126.69,08/17/2006 00:00:00
126.73,08/18/2006 00:00:00
126.99,08/21/2006 00:00:00
127.4,08/22/2006 00:00:00
127.32,08/23/2006 00:00:00
127.36,08/24/2006 00:00:00
127.46,08/25/2006 00:00:00
127.5,08/28/2006 00:00:00
127.27,08/29/2006 00:00:00
127.39,08/30/2006 00:00:00
127.61,08/31/2006 00:00:00
127.71,09/01/2006 00:00:00
127.71,09/04/2006 00:00:00
127.52,09/05/2006 00:00:00
127.24,09/06/2006 00:00:00
127.3,09/07/2006 00:00:00
127.43,09/08/2006 00:00:00
127.3,09/11/2006 00:00:00
127.16,09/12/2006 00:00:00
127.35,09/13/2006 00:00:00
127.34,09/14/2006 00:00:00
127.39,09/15/2006 00:00:00
127.12,09/18/2006 00:00:00
127.36,09/19/2006 00:00:00
127.43,09/20/2006 00:00:00
127.5,09/21/2006 00:00:00
127.95,09/22/2006 00:00:00
128.24,09/25/2006 00:00:00
128.2,09/26/2006 00:00:00
128.12,09/27/2006 00:00:00
128.02,09/28/2006 00:00:00
127.91,09/29/2006 00:00:00
128.03,10/02/2006 00:00:00
127.86,10/03/2006 00:00:00
128.05,10/04/2006 00:00:00
128.06,10/05/2006 00:00:00
127.91,10/06/2006 00:00:00
127.87,10/09/2006 00:00:00
127.56,10/10/2006 00:00:00
127.57,10/11/2006 00:00:00
127.63,10/12/2006 00:00:00
127.54,10/13/2006 00:00:00
127.58,10/16/2006 00:00:00
127.76,10/17/2006 00:00:00
127.7,10/18/2006 00:00:00
127.61,10/19/2006 00:00:00
127.6,10/20/2006 00:00:00
127.4,10/23/2006 00:00:00
127.42,10/24/2006 00:00:00
127.37,10/25/2006 00:00:00
127.51,10/26/2006 00:00:00
127.77,10/27/2006 00:00:00
127.91,10/30/2006 00:00:00
128.52,11/01/2006 00:00:00
128.44,11/02/2006 00:00:00
128.23,11/03/2006 00:00:00
128.13,11/06/2006 00:00:00
128.39,11/07/2006 00:00:00
128.31,11/08/2006 00:00:00
128.4,11/09/2006 00:00:00
128.6,11/10/2006 00:00:00
128.52,11/13/2006 00:00:00
128.58,11/14/2006 00:00:00
128.47,11/15/2006 00:00:00
128.39,11/16/2006 00:00:00
128.55,11/17/2006 00:00:00
128.7,11/20/2006 00:00:00
128.69,11/21/2006 00:00:00
128.71,11/22/2006 00:00:00
128.53,11/23/2006 00:00:00
128.79,11/24/2006 00:00:00
128.76,11/27/2006 00:00:00
128.83,11/28/2006 00:00:00
128.72,11/29/2006 00:00:00
128.86,11/30/2006 00:00:00
129.06,12/01/2006 00:00:00
129.12,12/04/2006 00:00:00
129.05,12/05/2006 00:00:00
128.96,12/06/2006 00:00:00
128.79,12/07/2006 00:00:00
128.68,12/08/2006 00:00:00
128.58,12/11/2006 00:00:00
128.59,12/12/2006 00:00:00
128.54,12/13/2006 00:00:00
128.33,12/14/2006 00:00:00
128.22,12/15/2006 00:00:00
128.13,12/18/2006 00:00:00
127.95,12/19/2006 00:00:00
127.94,12/20/2006 00:00:00
127.9,12/21/2006 00:00:00
127.92,12/26/2006 00:00:00
127.68,12/27/2006 00:00:00
127.54,12/28/2006 00:00:00
127.7,12/29/2006 00:00:00
127.78,01/02/2007 00:00:00
127.75,01/03/2007 00:00:00
127.85,01/04/2007 00:00:00
127.63,01/05/2007 00:00:00
127.68,01/08/2007 00:00:00
127.57,01/09/2007 00:00:00
127.5,01/10/2007 00:00:00
127.59,01/11/2007 00:00:00
127.38,01/12/2007 00:00:00
127.45,01/15/2007 00:00:00
127.53,01/16/2007 00:00:00
127.56,01/17/2007 00:00:00
127.44,01/18/2007 00:00:00
127.52,01/19/2007 00:00:00
127.72,01/22/2007 00:00:00
127.73,01/23/2007 00:00:00
127.64,01/24/2007 00:00:00
127.51,01/25/2007 00:00:00
127.43,01/26/2007 00:00:00
127.32,01/29/2007 00:00:00
127.35,01/30/2007 00:00:00
127.37,01/31/2007 00:00:00
127.49,02/01/2007 00:00:00
127.65,02/02/2007 00:00:00
127.91,02/05/2007 00:00:00
127.95,02/06/2007 00:00:00
127.97,02/07/2007 00:00:00
127.85,02/08/2007 00:00:00
127.64,02/09/2007 00:00:00
127.56,02/12/2007 00:00:00
127.46,02/13/2007 00:00:00
127.61,02/14/2007 00:00:00
127.93,02/15/2007 00:00:00
127.93,02/16/2007 00:00:00
127.88,02/19/2007 00:00:00
127.91,02/20/2007 00:00:00
128.02,02/21/2007 00:00:00
127.87,02/22/2007 00:00:00
128.04,02/23/2007 00:00:00
128.4,02/26/2007 00:00:00
128.57,02/27/2007 00:00:00
128.57,02/28/2007 00:00:00
128.66,03/01/2007 00:00:00
128.77,03/02/2007 00:00:00
128.78,03/05/2007 00:00:00
128.68,03/06/2007 00:00:00
128.71,03/07/2007 00:00:00
128.67,03/08/2007 00:00:00
128.55,03/09/2007 00:00:00
128.62,03/12/2007 00:00:00
128.73,03/13/2007 00:00:00
128.74,03/14/2007 00:00:00
128.54,03/15/2007 00:00:00
128.48,03/16/2007 00:00:00
128.37,03/19/2007 00:00:00
128.47,03/20/2007 00:00:00
128.48,03/21/2007 00:00:00
128.52,03/22/2007 00:00:00
128.22,03/23/2007 00:00:00
128.19,03/26/2007 00:00:00
128.11,03/27/2007 00:00:00
128.01,03/28/2007 00:00:00
127.89,03/29/2007 00:00:00
