NavVal,NavDate
765.06,04/17/2006 00:00:00
764.96,04/18/2006 00:00:00
769.36,04/19/2006 00:00:00
772.64,04/20/2006 00:00:00
776.14,04/21/2006 00:00:00
776.07,04/24/2006 00:00:00
776,04/25/2006 00:00:00
771.96,04/26/2006 00:00:00
762.33,04/27/2006 00:00:00
760.82,05/01/2006 00:00:00
766.05,05/02/2006 00:00:00
766.83,05/03/2006 00:00:00
771.43,05/04/2006 00:00:00
782.22,05/05/2006 00:00:00
786.08,05/08/2006 00:00:00
788.85,05/09/2006 00:00:00
787.64,05/10/2006 00:00:00
789.39,05/11/2006 00:00:00
774.44,05/12/2006 00:00:00
758.94,05/15/2006 00:00:00
749.92,05/16/2006 00:00:00
732.39,05/17/2006 00:00:00
717.5,05/18/2006 00:00:00
719.23,05/19/2006 00:00:00
685.04,05/22/2006 00:00:00
706.18,05/23/2006 00:00:00
705.58,05/25/2006 00:00:00
731.45,05/26/2006 00:00:00
732.02,05/29/2006 00:00:00
719,05/30/2006 00:00:00
720.21,05/31/2006 00:00:00
723.76,06/01/2006 00:00:00
735.2,06/05/2006 00:00:00
718.1,06/06/2006 00:00:00
723.22,06/07/2006 00:00:00
706.14,06/08/2006 00:00:00
705.44,06/09/2006 00:00:00
704.89,06/12/2006 00:00:00
683.65,06/13/2006 00:00:00
692.05,06/14/2006 00:00:00
722.35,06/15/2006 00:00:00
709.58,06/16/2006 00:00:00
716.6,06/19/2006 00:00:00
718.3,06/20/2006 00:00:00
715.89,06/21/2006 00:00:00
718.83,06/23/2006 00:00:00
715.08,06/26/2006 00:00:00
716.4,06/27/2006 00:00:00
713.84,06/28/2006 00:00:00
726.31,06/29/2006 00:00:00
735.4,06/30/2006 00:00:00
737.54,07/03/2006 00:00:00
750.05,07/04/2006 00:00:00
742.48,07/05/2006 00:00:00
744.01,07/06/2006 00:00:00
740.73,07/07/2006 00:00:00
739.23,07/10/2006 00:00:00
739.97,07/11/2006 00:00:00
742.18,07/12/2006 00:00:00
734.63,07/13/2006 00:00:00
729.36,07/14/2006 00:00:00
724.7,07/17/2006 00:00:00
727.24,07/18/2006 00:00:00
743.5,07/19/2006 00:00:00
744.26,07/20/2006 00:00:00
745.69,07/21/2006 00:00:00
757.46,07/24/2006 00:00:00
756.92,07/25/2006 00:00:00
759.88,07/26/2006 00:00:00
765.21,07/27/2006 00:00:00
771.85,07/28/2006 00:00:00
766.47,07/31/2006 00:00:00
765.3,08/01/2006 00:00:00
768.39,08/02/2006 00:00:00
762.55,08/03/2006 00:00:00
770.49,08/04/2006 00:00:00
770.77,08/07/2006 00:00:00
776.11,08/08/2006 00:00:00
775.48,08/09/2006 00:00:00
765.99,08/10/2006 00:00:00
770.98,08/11/2006 00:00:00
776.97,08/15/2006 00:00:00
779.24,08/16/2006 00:00:00
775.1,08/17/2006 00:00:00
775.65,08/18/2006 00:00:00
769.5,08/21/2006 00:00:00
773.93,08/22/2006 00:00:00
777.54,08/23/2006 00:00:00
773.66,08/24/2006 00:00:00
776.32,08/25/2006 00:00:00
775.88,08/28/2006 00:00:00
773.5,08/29/2006 00:00:00
775.32,08/30/2006 00:00:00
775.88,08/31/2006 00:00:00
784.2,09/01/2006 00:00:00
784.84,09/04/2006 00:00:00
781.85,09/05/2006 00:00:00
778.85,09/06/2006 00:00:00
776.59,09/07/2006 00:00:00
773.28,09/08/2006 00:00:00
774.92,09/11/2006 00:00:00
784.49,09/12/2006 00:00:00
788.63,09/13/2006 00:00:00
788.35,09/14/2006 00:00:00
796.21,09/15/2006 00:00:00
793.6,09/18/2006 00:00:00
796.03,09/19/2006 00:00:00
798.93,09/20/2006 00:00:00
812.75,09/21/2006 00:00:00
800.81,09/22/2006 00:00:00
802.34,09/25/2006 00:00:00
813.43,09/26/2006 00:00:00
823.29,09/27/2006 00:00:00
829.02,09/28/2006 00:00:00
831.05,09/29/2006 00:00:00
841.69,10/02/2006 00:00:00
842.09,10/03/2006 00:00:00
844.91,10/04/2006 00:00:00
849.32,10/05/2006 00:00:00
859.89,10/06/2006 00:00:00
854.13,10/09/2006 00:00:00
857.35,10/10/2006 00:00:00
851.05,10/11/2006 00:00:00
855.11,10/12/2006 00:00:00
853.4,10/13/2006 00:00:00
853.05,10/16/2006 00:00:00
847.52,10/17/2006 00:00:00
855.11,10/18/2006 00:00:00
851.13,10/19/2006 00:00:00
856.37,10/20/2006 00:00:00
860.35,10/23/2006 00:00:00
858.3,10/24/2006 00:00:00
860.24,10/25/2006 00:00:00
860.26,10/26/2006 00:00:00
853.32,10/27/2006 00:00:00
850.27,10/30/2006 00:00:00
861.25,11/01/2006 00:00:00
863.95,11/02/2006 00:00:00
869.15,11/03/2006 00:00:00
870.73,11/06/2006 00:00:00
876.31,11/07/2006 00:00:00
874.9,11/08/2006 00:00:00
880.54,11/09/2006 00:00:00
884.28,11/10/2006 00:00:00
890.19,11/13/2006 00:00:00
889.2,11/14/2006 00:00:00
893.04,11/15/2006 00:00:00
896.36,11/16/2006 00:00:00
891.49,11/17/2006 00:00:00
893.44,11/20/2006 00:00:00
903.34,11/21/2006 00:00:00
899.5,11/22/2006 00:00:00
898,11/23/2006 00:00:00
897.35,11/24/2006 00:00:00
884.08,11/27/2006 00:00:00
883.91,11/28/2006 00:00:00
888.61,11/29/2006 00:00:00
887.32,11/30/2006 00:00:00
885,12/01/2006 00:00:00
898.92,12/04/2006 00:00:00
900.96,12/05/2006 00:00:00
906.89,12/06/2006 00:00:00
906.82,12/07/2006 00:00:00
910.79,12/08/2006 00:00:00
919.62,12/11/2006 00:00:00
918.21,12/12/2006 00:00:00
933.45,12/13/2006 00:00:00
940.55,12/14/2006 00:00:00
953.27,12/15/2006 00:00:00
954.4,12/18/2006 00:00:00
941.55,12/19/2006 00:00:00
