NavVal,NavDate
367.42,05/18/2017 00:00:00
369.54,05/19/2017 00:00:00
368.06,05/22/2017 00:00:00
369.38,05/23/2017 00:00:00
370.8,05/24/2017 00:00:00
370.77,05/25/2017 00:00:00
369.73,05/26/2017 00:00:00
370.03,05/29/2017 00:00:00
369.63,05/30/2017 00:00:00
369.23,05/31/2017 00:00:00
371.59,06/01/2017 00:00:00
373.58,06/02/2017 00:00:00
372.28,06/05/2017 00:00:00
369.84,06/06/2017 00:00:00
369.05,06/07/2017 00:00:00
368.75,06/08/2017 00:00:00
369.96,06/09/2017 00:00:00
366.21,06/12/2017 00:00:00
368.24,06/13/2017 00:00:00
368.12,06/14/2017 00:00:00
365.82,06/15/2017 00:00:00
367.62,06/16/2017 00:00:00
371.23,06/19/2017 00:00:00
369.78,06/20/2017 00:00:00
368.94,06/21/2017 00:00:00
368.68,06/22/2017 00:00:00
367.95,06/23/2017 00:00:00
368.33,06/26/2017 00:00:00
364.46,06/27/2017 00:00:00
363.31,06/28/2017 00:00:00
357.64,06/29/2017 00:00:00
358.51,06/30/2017 00:00:00
360.95,07/03/2017 00:00:00
360.23,07/04/2017 00:00:00
361.25,07/05/2017 00:00:00
357.84,07/06/2017 00:00:00
359.27,07/07/2017 00:00:00
360.48,07/10/2017 00:00:00
358.63,07/11/2017 00:00:00
364.14,07/12/2017 00:00:00
365.23,07/13/2017 00:00:00
366.06,07/14/2017 00:00:00
365.89,07/17/2017 00:00:00
361.62,07/18/2017 00:00:00
363.23,07/19/2017 00:00:00
362.33,07/20/2017 00:00:00
359.08,07/21/2017 00:00:00
357.98,07/24/2017 00:00:00
359.99,07/25/2017 00:00:00
361.78,07/26/2017 00:00:00
362.11,07/27/2017 00:00:00
358.33,07/28/2017 00:00:00
357.85,07/31/2017 00:00:00
360.05,08/01/2017 00:00:00
358.08,08/02/2017 00:00:00
356.93,08/03/2017 00:00:00
358.89,08/04/2017 00:00:00
358.21,08/07/2017 00:00:00
358.67,08/08/2017 00:00:00
356.39,08/09/2017 00:00:00
352.88,08/10/2017 00:00:00
350.52,08/11/2017 00:00:00
354.69,08/14/2017 00:00:00
355.43,08/15/2017 00:00:00
357.9,08/16/2017 00:00:00
357.27,08/17/2017 00:00:00
355.13,08/18/2017 00:00:00
353.87,08/21/2017 00:00:00
357.81,08/22/2017 00:00:00
355.85,08/23/2017 00:00:00
356.97,08/24/2017 00:00:00
356.54,08/25/2017 00:00:00
354.81,08/28/2017 00:00:00
350.77,08/29/2017 00:00:00
352.91,08/30/2017 00:00:00
356.14,08/31/2017 00:00:00
359.26,09/01/2017 00:00:00
357.07,09/04/2017 00:00:00
357.57,09/05/2017 00:00:00
357.53,09/06/2017 00:00:00
358.27,09/07/2017 00:00:00
358.61,09/08/2017 00:00:00
361.73,09/11/2017 00:00:00
363.88,09/12/2017 00:00:00
363.05,09/13/2017 00:00:00
362.78,09/14/2017 00:00:00
361.82,09/15/2017 00:00:00
363.45,09/18/2017 00:00:00
363.43,09/19/2017 00:00:00
363.1,09/20/2017 00:00:00
364.89,09/21/2017 00:00:00
365,09/22/2017 00:00:00
365.79,09/25/2017 00:00:00
364.9,09/26/2017 00:00:00
365.66,09/27/2017 00:00:00
366.34,09/28/2017 00:00:00
367.53,09/29/2017 00:00:00
367.53,09/30/2017 00:00:00
370.66,10/02/2017 00:00:00
371.05,10/03/2017 00:00:00
371.15,10/04/2017 00:00:00
371.37,10/05/2017 00:00:00
369.89,10/06/2017 00:00:00
370.28,10/09/2017 00:00:00
370.21,10/10/2017 00:00:00
370.83,10/11/2017 00:00:00
371.53,10/12/2017 00:00:00
372.97,10/13/2017 00:00:00
373.15,10/16/2017 00:00:00
370.29,10/17/2017 00:00:00
370.76,10/18/2017 00:00:00
367.45,10/19/2017 00:00:00
369.05,10/20/2017 00:00:00
370.06,10/23/2017 00:00:00
367.38,10/24/2017 00:00:00
366.46,10/25/2017 00:00:00
369.36,10/26/2017 00:00:00
372.28,10/27/2017 00:00:00
374.12,10/30/2017 00:00:00
375.17,10/31/2017 00:00:00
375.01,11/01/2017 00:00:00
371.64,11/02/2017 00:00:00
373.02,11/03/2017 00:00:00
372.84,11/06/2017 00:00:00
369.18,11/07/2017 00:00:00
368.76,11/08/2017 00:00:00
364.16,11/09/2017 00:00:00
363.91,11/10/2017 00:00:00
361.26,11/13/2017 00:00:00
359.27,11/14/2017 00:00:00
357.05,11/15/2017 00:00:00
362.26,11/16/2017 00:00:00
359.74,11/17/2017 00:00:00
361.43,11/20/2017 00:00:00
363.54,11/21/2017 00:00:00
362.13,11/22/2017 00:00:00
361.32,11/23/2017 00:00:00
360.44,11/24/2017 00:00:00
359.01,11/27/2017 00:00:00
362.25,11/28/2017 00:00:00
362.1,11/29/2017 00:00:00
362.85,11/30/2017 00:00:00
359.46,12/01/2017 00:00:00
363.78,12/04/2017 00:00:00
363.29,12/05/2017 00:00:00
363.66,12/06/2017 00:00:00
366.04,12/07/2017 00:00:00
368.31,12/08/2017 00:00:00
369.13,12/11/2017 00:00:00
371.03,12/12/2017 00:00:00
370.13,12/13/2017 00:00:00
367.58,12/14/2017 00:00:00
366.6,12/15/2017 00:00:00
370,12/18/2017 00:00:00
368.09,12/19/2017 00:00:00
365.46,12/20/2017 00:00:00
366.98,12/21/2017 00:00:00
368.25,12/22/2017 00:00:00
368.03,12/27/2017 00:00:00
367.58,12/28/2017 00:00:00
367.21,12/29/2017 00:00:00
367.21,12/31/2017 00:00:00
366.11,01/02/2018 00:00:00
367.46,01/03/2018 00:00:00
370.49,01/04/2018 00:00:00
374.1,01/05/2018 00:00:00
374.29,01/08/2018 00:00:00
376.39,01/09/2018 00:00:00
373.55,01/10/2018 00:00:00
373.27,01/11/2018 00:00:00
373.8,01/12/2018 00:00:00
372.8,01/15/2018 00:00:00
374.03,01/16/2018 00:00:00
373.37,01/17/2018 00:00:00
375.27,01/18/2018 00:00:00
377.31,01/19/2018 00:00:00
378.55,01/22/2018 00:00:00
379.03,01/23/2018 00:00:00
376.82,01/24/2018 00:00:00
374.54,01/25/2018 00:00:00
375.71,01/26/2018 00:00:00
375.77,01/29/2018 00:00:00
373.38,01/30/2018 00:00:00
374.33,01/31/2018 00:00:00
371.05,02/01/2018 00:00:00
366.33,02/02/2018 00:00:00
360.13,02/05/2018 00:00:00
352.73,02/06/2018 00:00:00
359.68,02/07/2018 00:00:00
354.73,02/08/2018 00:00:00
348.59,02/09/2018 00:00:00
352.46,02/12/2018 00:00:00
350.28,02/13/2018 00:00:00
354.76,02/14/2018 00:00:00
357.63,02/15/2018 00:00:00
361.55,02/16/2018 00:00:00
357.89,02/19/2018 00:00:00
359.74,02/20/2018 00:00:00
361.4,02/21/2018 00:00:00
360.16,02/22/2018 00:00:00
361.63,02/23/2018 00:00:00
363.99,02/26/2018 00:00:00
362,02/27/2018 00:00:00
361.29,02/28/2018 00:00:00
355.9,03/01/2018 00:00:00
349.75,03/02/2018 00:00:00
352.8,03/05/2018 00:00:00
353.32,03/06/2018 00:00:00
355.36,03/07/2018 00:00:00
359.2,03/08/2018 00:00:00
360.88,03/09/2018 00:00:00
361.94,03/12/2018 00:00:00
358.25,03/13/2018 00:00:00
357.7,03/14/2018 00:00:00
359.6,03/15/2018 00:00:00
358.44,03/16/2018 00:00:00
352.76,03/19/2018 00:00:00
354.72,03/20/2018 00:00:00
354.22,03/21/2018 00:00:00
348.78,03/22/2018 00:00:00
346.71,03/23/2018 00:00:00
343.7,03/26/2018 00:00:00
347.92,03/27/2018 00:00:00
348.44,03/28/2018 00:00:00
349.59,03/29/2018 00:00:00
349.59,03/31/2018 00:00:00
347.97,04/03/2018 00:00:00
345.75,04/04/2018 00:00:00
353.96,04/05/2018 00:00:00
354.44,04/06/2018 00:00:00
355.57,04/09/2018 00:00:00
358.5,04/10/2018 00:00:00
358.06,04/11/2018 00:00:00
360.9,04/12/2018 00:00:00
361.04,04/13/2018 00:00:00
359.02,04/16/2018 00:00:00
362.92,04/17/2018 00:00:00
363.09,04/18/2018 00:00:00
362.46,04/19/2018 00:00:00
361.23,04/20/2018 00:00:00
361.93,04/23/2018 00:00:00
361.48,04/24/2018 00:00:00
357.81,04/25/2018 00:00:00
361.96,04/26/2018 00:00:00
363.38,04/27/2018 00:00:00
364.1,04/30/2018 00:00:00
366.85,05/02/2018 00:00:00
364.5,05/03/2018 00:00:00
366.66,05/04/2018 00:00:00
369.73,05/07/2018 00:00:00
370.47,05/08/2018 00:00:00
372.92,05/09/2018 00:00:00
