NavVal,NavDate
244.02,10/23/2006 00:00:00
244.02,10/24/2006 00:00:00
244.7,10/25/2006 00:00:00
245.46,10/26/2006 00:00:00
243.69,10/27/2006 00:00:00
243.17,10/30/2006 00:00:00
240.82,11/01/2006 00:00:00
240.46,11/02/2006 00:00:00
241.45,11/03/2006 00:00:00
244.02,11/06/2006 00:00:00
243.74,11/07/2006 00:00:00
244.71,11/08/2006 00:00:00
243.21,11/09/2006 00:00:00
242.56,11/10/2006 00:00:00
243.23,11/13/2006 00:00:00
244.79,11/14/2006 00:00:00
246.78,11/15/2006 00:00:00
247.4,11/16/2006 00:00:00
245.98,11/17/2006 00:00:00
246.16,11/20/2006 00:00:00
247.51,11/21/2006 00:00:00
247.33,11/22/2006 00:00:00
246.83,11/23/2006 00:00:00
244,11/24/2006 00:00:00
239.22,11/27/2006 00:00:00
238.6,11/28/2006 00:00:00
242.24,11/29/2006 00:00:00
241.42,11/30/2006 00:00:00
239.81,12/01/2006 00:00:00
242.16,12/04/2006 00:00:00
244.46,12/05/2006 00:00:00
244.36,12/06/2006 00:00:00
243.61,12/07/2006 00:00:00
243.08,12/08/2006 00:00:00
244.78,12/11/2006 00:00:00
244.36,12/12/2006 00:00:00
244.61,12/13/2006 00:00:00
247.49,12/14/2006 00:00:00
248.83,12/15/2006 00:00:00
248.18,12/18/2006 00:00:00
246.36,12/19/2006 00:00:00
246.92,12/20/2006 00:00:00
246.54,12/21/2006 00:00:00
245.52,12/26/2006 00:00:00
247.86,12/27/2006 00:00:00
247.13,12/28/2006 00:00:00
246.53,12/29/2006 00:00:00
246.6,01/02/2007 00:00:00
247.56,01/03/2007 00:00:00
249.06,01/04/2007 00:00:00
248.92,01/05/2007 00:00:00
249.52,01/08/2007 00:00:00
250.36,01/09/2007 00:00:00
251.24,01/10/2007 00:00:00
254.25,01/11/2007 00:00:00
255.47,01/12/2007 00:00:00
257.19,01/15/2007 00:00:00
256.66,01/16/2007 00:00:00
255.88,01/17/2007 00:00:00
253.4,01/18/2007 00:00:00
254.71,01/19/2007 00:00:00
253.93,01/22/2007 00:00:00
253.56,01/23/2007 00:00:00
257.81,01/24/2007 00:00:00
254.78,01/25/2007 00:00:00
254.41,01/26/2007 00:00:00
254.11,01/29/2007 00:00:00
255.29,01/30/2007 00:00:00
255.14,01/31/2007 00:00:00
256.45,02/01/2007 00:00:00
257.89,02/02/2007 00:00:00
258.66,02/05/2007 00:00:00
258.95,02/06/2007 00:00:00
259.89,02/07/2007 00:00:00
259.16,02/08/2007 00:00:00
259.88,02/09/2007 00:00:00
258.96,02/12/2007 00:00:00
258.65,02/13/2007 00:00:00
260.39,02/14/2007 00:00:00
260.87,02/15/2007 00:00:00
261.35,02/16/2007 00:00:00
261.39,02/19/2007 00:00:00
261.78,02/20/2007 00:00:00
261.94,02/21/2007 00:00:00
263.1,02/22/2007 00:00:00
261.87,02/23/2007 00:00:00
261.43,02/26/2007 00:00:00
250.92,02/27/2007 00:00:00
249.82,02/28/2007 00:00:00
248.96,03/01/2007 00:00:00
246.33,03/02/2007 00:00:00
242.57,03/05/2007 00:00:00
246.75,03/06/2007 00:00:00
246.42,03/07/2007 00:00:00
249.52,03/08/2007 00:00:00
249.75,03/09/2007 00:00:00
250.11,03/12/2007 00:00:00
246.22,03/13/2007 00:00:00
244.38,03/14/2007 00:00:00
246.93,03/15/2007 00:00:00
245.87,03/16/2007 00:00:00
248.63,03/19/2007 00:00:00
250.33,03/20/2007 00:00:00
253.01,03/21/2007 00:00:00
253.59,03/22/2007 00:00:00
254.73,03/23/2007 00:00:00
254.47,03/26/2007 00:00:00
252.85,03/27/2007 00:00:00
251.35,03/28/2007 00:00:00
253.5,03/29/2007 00:00:00
254.36,03/30/2007 00:00:00
254.14,04/02/2007 00:00:00
256.86,04/03/2007 00:00:00
257.9,04/04/2007 00:00:00
258.82,04/09/2007 00:00:00
259.22,04/10/2007 00:00:00
258.29,04/11/2007 00:00:00
258.21,04/12/2007 00:00:00
258.72,04/13/2007 00:00:00
260.24,04/16/2007 00:00:00
260.09,04/17/2007 00:00:00
258.97,04/18/2007 00:00:00
257.08,04/19/2007 00:00:00
259.69,04/20/2007 00:00:00
260.84,04/23/2007 00:00:00
259.94,04/24/2007 00:00:00
260.94,04/25/2007 00:00:00
262.33,04/26/2007 00:00:00
260.49,04/27/2007 00:00:00
258.49,04/30/2007 00:00:00
260.62,05/02/2007 00:00:00
262.59,05/03/2007 00:00:00
264.57,05/04/2007 00:00:00
264.1,05/07/2007 00:00:00
264.59,05/08/2007 00:00:00
265.75,05/09/2007 00:00:00
263.61,05/10/2007 00:00:00
265.08,05/11/2007 00:00:00
264.68,05/14/2007 00:00:00
263.78,05/15/2007 00:00:00
266.11,05/17/2007 00:00:00
268.06,05/18/2007 00:00:00
270.23,05/21/2007 00:00:00
270.64,05/22/2007 00:00:00
270.92,05/23/2007 00:00:00
268.92,05/24/2007 00:00:00
270.23,05/28/2007 00:00:00
270.11,05/29/2007 00:00:00
272.35,05/30/2007 00:00:00
273.99,05/31/2007 00:00:00
276.81,06/01/2007 00:00:00
276.44,06/04/2007 00:00:00
275.54,06/05/2007 00:00:00
273.02,06/06/2007 00:00:00
269.83,06/07/2007 00:00:00
272.39,06/08/2007 00:00:00
273.41,06/11/2007 00:00:00
271.98,06/12/2007 00:00:00
274.92,06/13/2007 00:00:00
277.99,06/14/2007 00:00:00
280.2,06/15/2007 00:00:00
280.06,06/18/2007 00:00:00
279.24,06/19/2007 00:00:00
277.72,06/20/2007 00:00:00
279.22,06/21/2007 00:00:00
277.41,06/22/2007 00:00:00
275.12,06/25/2007 00:00:00
273.2,06/26/2007 00:00:00
274.85,06/27/2007 00:00:00
275.96,06/28/2007 00:00:00
275.64,06/29/2007 00:00:00
276.37,07/02/2007 00:00:00
278.42,07/03/2007 00:00:00
279.2,07/04/2007 00:00:00
281.29,07/05/2007 00:00:00
281.97,07/06/2007 00:00:00
283.84,07/09/2007 00:00:00
280.98,07/10/2007 00:00:00
280.3,07/11/2007 00:00:00
284.1,07/12/2007 00:00:00
285.67,07/13/2007 00:00:00
284.86,07/16/2007 00:00:00
284.77,07/17/2007 00:00:00
282.67,07/18/2007 00:00:00
285.19,07/19/2007 00:00:00
282.85,07/20/2007 00:00:00
283.93,07/23/2007 00:00:00
279.39,07/24/2007 00:00:00
280.36,07/25/2007 00:00:00
274.3,07/26/2007 00:00:00
271.19,07/27/2007 00:00:00
272.09,07/30/2007 00:00:00
272.14,07/31/2007 00:00:00
269.82,08/01/2007 00:00:00
271.9,08/02/2007 00:00:00
266.77,08/03/2007 00:00:00
266.67,08/06/2007 00:00:00
268.88,08/07/2007 00:00:00
273.61,08/08/2007 00:00:00
271.69,08/09/2007 00:00:00
267.89,08/10/2007 00:00:00
270.34,08/13/2007 00:00:00
266.49,08/15/2007 00:00:00
261.79,08/16/2007 00:00:00
263.31,08/17/2007 00:00:00
266.31,08/20/2007 00:00:00
267.48,08/21/2007 00:00:00
270.6,08/22/2007 00:00:00
271.13,08/23/2007 00:00:00
272.79,08/24/2007 00:00:00
272.89,08/27/2007 00:00:00
268.48,08/28/2007 00:00:00
270.83,08/29/2007 00:00:00
272.93,08/30/2007 00:00:00
276.25,08/31/2007 00:00:00
276.98,09/03/2007 00:00:00
279.81,09/04/2007 00:00:00
276.89,09/05/2007 00:00:00
277.42,09/06/2007 00:00:00
272.76,09/07/2007 00:00:00
270.94,09/10/2007 00:00:00
273.78,09/11/2007 00:00:00
273.75,09/12/2007 00:00:00
275.08,09/13/2007 00:00:00
275.13,09/14/2007 00:00:00
273.43,09/17/2007 00:00:00
277.71,09/18/2007 00:00:00
281.12,09/19/2007 00:00:00
278.61,09/20/2007 00:00:00
278.83,09/21/2007 00:00:00
279.4,09/24/2007 00:00:00
279.37,09/25/2007 00:00:00
280.59,09/26/2007 00:00:00
282.36,09/27/2007 00:00:00
282.43,09/28/2007 00:00:00
284.39,10/01/2007 00:00:00
286.13,10/02/2007 00:00:00
284.67,10/03/2007 00:00:00
283.48,10/04/2007 00:00:00
286.44,10/05/2007 00:00:00
287.17,10/08/2007 00:00:00
289.26,10/09/2007 00:00:00
289.83,10/10/2007 00:00:00
289.76,10/11/2007 00:00:00
292.37,10/12/2007 00:00:00
290.12,10/15/2007 00:00:00
289.33,10/16/2007 00:00:00
290.11,10/17/2007 00:00:00
289.58,10/18/2007 00:00:00
285.48,10/19/2007 00:00:00
284.69,10/22/2007 00:00:00
287.25,10/23/2007 00:00:00
285.64,10/24/2007 00:00:00
285.59,10/25/2007 00:00:00
288.24,10/26/2007 00:00:00
290.45,10/29/2007 00:00:00
289.02,10/30/2007 00:00:00
292.37,10/31/2007 00:00:00
287.67,11/02/2007 00:00:00
285.02,11/05/2007 00:00:00
286.64,11/06/2007 00:00:00
281.4,11/07/2007 00:00:00
277.72,11/08/2007 00:00:00
273.33,11/09/2007 00:00:00
