NavVal,NavDate
290.76,04/17/2006 00:00:00
292.44,04/18/2006 00:00:00
293.86,04/19/2006 00:00:00
294.45,04/20/2006 00:00:00
295.31,04/21/2006 00:00:00
294.52,04/24/2006 00:00:00
293.69,04/25/2006 00:00:00
293.53,04/26/2006 00:00:00
292.52,04/27/2006 00:00:00
292,05/01/2006 00:00:00
293.05,05/02/2006 00:00:00
292.71,05/03/2006 00:00:00
292.02,05/04/2006 00:00:00
293.64,05/05/2006 00:00:00
294.94,05/08/2006 00:00:00
295.15,05/09/2006 00:00:00
294.58,05/10/2006 00:00:00
291.81,05/11/2006 00:00:00
286.19,05/12/2006 00:00:00
284.29,05/15/2006 00:00:00
284.85,05/16/2006 00:00:00
280.63,05/17/2006 00:00:00
278.02,05/18/2006 00:00:00
279.25,05/19/2006 00:00:00
273.81,05/22/2006 00:00:00
275.16,05/23/2006 00:00:00
277.42,05/25/2006 00:00:00
281.85,05/26/2006 00:00:00
281.79,05/29/2006 00:00:00
276.71,05/30/2006 00:00:00
278.17,05/31/2006 00:00:00
280.89,06/01/2006 00:00:00
279.14,06/05/2006 00:00:00
277.98,06/06/2006 00:00:00
278.32,06/07/2006 00:00:00
276.39,06/08/2006 00:00:00
278.77,06/09/2006 00:00:00
277.27,06/12/2006 00:00:00
272.07,06/13/2006 00:00:00
271.17,06/14/2006 00:00:00
275.47,06/15/2006 00:00:00
275.31,06/16/2006 00:00:00
275.56,06/19/2006 00:00:00
275.21,06/20/2006 00:00:00
274.89,06/21/2006 00:00:00
275.91,06/23/2006 00:00:00
275.72,06/26/2006 00:00:00
274.32,06/27/2006 00:00:00
275.38,06/28/2006 00:00:00
279.8,06/29/2006 00:00:00
279.56,06/30/2006 00:00:00
281.16,07/03/2006 00:00:00
282.09,07/04/2006 00:00:00
280.91,07/05/2006 00:00:00
281.87,07/06/2006 00:00:00
280.89,07/07/2006 00:00:00
282.73,07/10/2006 00:00:00
281.96,07/11/2006 00:00:00
281.79,07/12/2006 00:00:00
278.83,07/13/2006 00:00:00
277.51,07/14/2006 00:00:00
277.99,07/17/2006 00:00:00
279.19,07/18/2006 00:00:00
282.13,07/19/2006 00:00:00
281.38,07/20/2006 00:00:00
279.87,07/21/2006 00:00:00
283.41,07/24/2006 00:00:00
283.96,07/25/2006 00:00:00
284.94,07/26/2006 00:00:00
284.97,07/27/2006 00:00:00
286.51,07/28/2006 00:00:00
285.78,07/31/2006 00:00:00
285.27,08/01/2006 00:00:00
286.24,08/02/2006 00:00:00
285.98,08/03/2006 00:00:00
285.99,08/04/2006 00:00:00
285.45,08/07/2006 00:00:00
286.03,08/08/2006 00:00:00
285.75,08/09/2006 00:00:00
286.22,08/10/2006 00:00:00
286.12,08/11/2006 00:00:00
288.84,08/15/2006 00:00:00
289.05,08/16/2006 00:00:00
289.45,08/17/2006 00:00:00
290.44,08/18/2006 00:00:00
288.88,08/21/2006 00:00:00
291.32,08/22/2006 00:00:00
290.42,08/23/2006 00:00:00
290.58,08/24/2006 00:00:00
291,08/25/2006 00:00:00
291.54,08/28/2006 00:00:00
292.8,08/29/2006 00:00:00
292.77,08/30/2006 00:00:00
292.53,08/31/2006 00:00:00
293.64,09/01/2006 00:00:00
293.84,09/04/2006 00:00:00
294.2,09/05/2006 00:00:00
292.64,09/06/2006 00:00:00
291.13,09/07/2006 00:00:00
292.59,09/08/2006 00:00:00
291.58,09/11/2006 00:00:00
294.09,09/12/2006 00:00:00
295.47,09/13/2006 00:00:00
294.75,09/14/2006 00:00:00
296.32,09/15/2006 00:00:00
296.44,09/18/2006 00:00:00
295.28,09/19/2006 00:00:00
295.71,09/20/2006 00:00:00
295.77,09/21/2006 00:00:00
292.87,09/22/2006 00:00:00
294.24,09/25/2006 00:00:00
296.35,09/26/2006 00:00:00
297.37,09/27/2006 00:00:00
298.06,09/28/2006 00:00:00
297.94,09/29/2006 00:00:00
297.02,10/02/2006 00:00:00
296.78,10/03/2006 00:00:00
299.03,10/04/2006 00:00:00
300.22,10/05/2006 00:00:00
301.25,10/06/2006 00:00:00
301.1,10/09/2006 00:00:00
302.47,10/10/2006 00:00:00
302.71,10/11/2006 00:00:00
305.11,10/12/2006 00:00:00
306.69,10/13/2006 00:00:00
307.25,10/16/2006 00:00:00
305.13,10/17/2006 00:00:00
307.09,10/18/2006 00:00:00
305.86,10/19/2006 00:00:00
306.8,10/20/2006 00:00:00
308.12,10/23/2006 00:00:00
308.55,10/24/2006 00:00:00
309.43,10/25/2006 00:00:00
308.93,10/26/2006 00:00:00
307.28,10/27/2006 00:00:00
306.88,10/30/2006 00:00:00
305.68,11/01/2006 00:00:00
304.55,11/02/2006 00:00:00
306.01,11/03/2006 00:00:00
307.61,11/06/2006 00:00:00
307.23,11/07/2006 00:00:00
308.09,11/08/2006 00:00:00
306.11,11/09/2006 00:00:00
305.21,11/10/2006 00:00:00
305.84,11/13/2006 00:00:00
306.43,11/14/2006 00:00:00
307.27,11/15/2006 00:00:00
308.38,11/16/2006 00:00:00
308,11/17/2006 00:00:00
308.12,11/20/2006 00:00:00
308.99,11/21/2006 00:00:00
307.87,11/22/2006 00:00:00
307.59,11/23/2006 00:00:00
305.36,11/24/2006 00:00:00
302.17,11/27/2006 00:00:00
301.13,11/28/2006 00:00:00
304.74,11/29/2006 00:00:00
303.1,11/30/2006 00:00:00
300.77,12/01/2006 00:00:00
302.08,12/04/2006 00:00:00
303.56,12/05/2006 00:00:00
303.83,12/06/2006 00:00:00
304.83,12/07/2006 00:00:00
304.66,12/08/2006 00:00:00
307.11,12/11/2006 00:00:00
307.33,12/12/2006 00:00:00
308.53,12/13/2006 00:00:00
311.01,12/14/2006 00:00:00
312.94,12/15/2006 00:00:00
313.38,12/18/2006 00:00:00
311.08,12/19/2006 00:00:00
312.17,12/20/2006 00:00:00
311.96,12/21/2006 00:00:00
312.07,12/26/2006 00:00:00
314.84,12/27/2006 00:00:00
314.67,12/28/2006 00:00:00
313.14,12/29/2006 00:00:00
314.07,01/02/2007 00:00:00
315.03,01/03/2007 00:00:00
314.89,01/04/2007 00:00:00
312.55,01/05/2007 00:00:00
312.12,01/08/2007 00:00:00
313.04,01/09/2007 00:00:00
311.9,01/10/2007 00:00:00
315.14,01/11/2007 00:00:00
315.91,01/12/2007 00:00:00
317.42,01/15/2007 00:00:00
317.03,01/16/2007 00:00:00
315.75,01/17/2007 00:00:00
316.45,01/18/2007 00:00:00
317.69,01/19/2007 00:00:00
317.75,01/22/2007 00:00:00
316.68,01/23/2007 00:00:00
319.07,01/24/2007 00:00:00
317.58,01/25/2007 00:00:00
318.05,01/26/2007 00:00:00
316.99,01/29/2007 00:00:00
318.22,01/30/2007 00:00:00
317.74,01/31/2007 00:00:00
319.77,02/01/2007 00:00:00
321.32,02/02/2007 00:00:00
322.39,02/05/2007 00:00:00
323.51,02/06/2007 00:00:00
322.68,02/07/2007 00:00:00
321.05,02/08/2007 00:00:00
321.78,02/09/2007 00:00:00
320.52,02/12/2007 00:00:00
321.44,02/13/2007 00:00:00
321.95,02/14/2007 00:00:00
322.04,02/15/2007 00:00:00
321.73,02/16/2007 00:00:00
322.51,02/19/2007 00:00:00
321.68,02/20/2007 00:00:00
321.36,02/21/2007 00:00:00
321.75,02/22/2007 00:00:00
320.75,02/23/2007 00:00:00
321.31,02/26/2007 00:00:00
312.29,02/27/2007 00:00:00
310.41,02/28/2007 00:00:00
309.08,03/01/2007 00:00:00
306.75,03/02/2007 00:00:00
302.82,03/05/2007 00:00:00
306.69,03/06/2007 00:00:00
306.26,03/07/2007 00:00:00
309.27,03/08/2007 00:00:00
310.82,03/09/2007 00:00:00
310.27,03/12/2007 00:00:00
306.27,03/13/2007 00:00:00
302.94,03/14/2007 00:00:00
306.31,03/15/2007 00:00:00
304.66,03/16/2007 00:00:00
308.19,03/19/2007 00:00:00
310.26,03/20/2007 00:00:00
312.84,03/21/2007 00:00:00
314.65,03/22/2007 00:00:00
315.87,03/23/2007 00:00:00
314.42,03/26/2007 00:00:00
313.29,03/27/2007 00:00:00
311.04,03/28/2007 00:00:00
314.84,03/29/2007 00:00:00
315.49,03/30/2007 00:00:00
315.47,04/02/2007 00:00:00
317.88,04/03/2007 00:00:00
318.42,04/04/2007 00:00:00
319.17,04/09/2007 00:00:00
320.35,04/10/2007 00:00:00
320.23,04/11/2007 00:00:00
319.36,04/12/2007 00:00:00
320.38,04/13/2007 00:00:00
323.08,04/16/2007 00:00:00
323.34,04/17/2007 00:00:00
323.42,04/18/2007 00:00:00
321.17,04/19/2007 00:00:00
324.42,04/20/2007 00:00:00
324.15,04/23/2007 00:00:00
322.18,04/24/2007 00:00:00
323.38,04/25/2007 00:00:00
323.63,04/26/2007 00:00:00
321.91,04/27/2007 00:00:00
321.6,04/30/2007 00:00:00
323.2,05/02/2007 00:00:00
324.63,05/03/2007 00:00:00
326.14,05/04/2007 00:00:00
326.27,05/07/2007 00:00:00
326.67,05/08/2007 00:00:00
326.79,05/09/2007 00:00:00
325.14,05/10/2007 00:00:00
325.72,05/11/2007 00:00:00
325.52,05/14/2007 00:00:00
325,05/15/2007 00:00:00
327.7,05/17/2007 00:00:00
329.23,05/18/2007 00:00:00
329.7,05/21/2007 00:00:00
329.86,05/22/2007 00:00:00
330.1,05/23/2007 00:00:00
327.39,05/24/2007 00:00:00
327.92,05/28/2007 00:00:00
327.9,05/29/2007 00:00:00
328.8,05/30/2007 00:00:00
329.12,05/31/2007 00:00:00
331.76,06/01/2007 00:00:00
330.68,06/04/2007 00:00:00
328.69,06/05/2007 00:00:00
326.27,06/06/2007 00:00:00
322.9,06/07/2007 00:00:00
324.32,06/08/2007 00:00:00
326.17,06/11/2007 00:00:00
