NavVal,NavDate
316.61,04/17/2006 00:00:00
316.83,04/18/2006 00:00:00
317.05,04/19/2006 00:00:00
317.35,04/20/2006 00:00:00
317.63,04/21/2006 00:00:00
317.89,04/24/2006 00:00:00
317.93,04/25/2006 00:00:00
317.66,04/26/2006 00:00:00
317.83,04/27/2006 00:00:00
318.49,05/01/2006 00:00:00
318.74,05/02/2006 00:00:00
318.72,05/03/2006 00:00:00
318.7,05/04/2006 00:00:00
318.68,05/05/2006 00:00:00
318.89,05/08/2006 00:00:00
318.89,05/09/2006 00:00:00
318.95,05/10/2006 00:00:00
319.09,05/11/2006 00:00:00
318.84,05/12/2006 00:00:00
318.38,05/15/2006 00:00:00
318.01,05/16/2006 00:00:00
317.4,05/17/2006 00:00:00
317.25,05/18/2006 00:00:00
317.39,05/19/2006 00:00:00
316.75,05/22/2006 00:00:00
316.42,05/23/2006 00:00:00
316.25,05/25/2006 00:00:00
316.76,05/26/2006 00:00:00
316.91,05/29/2006 00:00:00
316.87,05/30/2006 00:00:00
316.66,05/31/2006 00:00:00
316.75,06/01/2006 00:00:00
317.07,06/05/2006 00:00:00
316.68,06/06/2006 00:00:00
316.58,06/07/2006 00:00:00
316.27,06/08/2006 00:00:00
316.38,06/09/2006 00:00:00
316.56,06/12/2006 00:00:00
315.76,06/13/2006 00:00:00
314.86,06/14/2006 00:00:00
314.36,06/15/2006 00:00:00
314.51,06/16/2006 00:00:00
314.35,06/19/2006 00:00:00
313.78,06/20/2006 00:00:00
313.03,06/21/2006 00:00:00
312.19,06/23/2006 00:00:00
311.7,06/26/2006 00:00:00
311.8,06/27/2006 00:00:00
311.91,06/28/2006 00:00:00
312.82,06/29/2006 00:00:00
314.14,06/30/2006 00:00:00
314.46,07/03/2006 00:00:00
314.62,07/04/2006 00:00:00
314.45,07/05/2006 00:00:00
314.31,07/06/2006 00:00:00
314.56,07/07/2006 00:00:00
314.96,07/10/2006 00:00:00
315.01,07/11/2006 00:00:00
315.02,07/12/2006 00:00:00
314.76,07/13/2006 00:00:00
314.25,07/14/2006 00:00:00
314.19,07/17/2006 00:00:00
314.35,07/18/2006 00:00:00
314.72,07/19/2006 00:00:00
315.07,07/20/2006 00:00:00
315.12,07/21/2006 00:00:00
314.99,07/24/2006 00:00:00
315.03,07/25/2006 00:00:00
315.33,07/26/2006 00:00:00
315.55,07/27/2006 00:00:00
315.76,07/28/2006 00:00:00
315.92,07/31/2006 00:00:00
315.92,08/01/2006 00:00:00
316.17,08/02/2006 00:00:00
316.71,08/03/2006 00:00:00
317.23,08/04/2006 00:00:00
317.52,08/07/2006 00:00:00
317.66,08/08/2006 00:00:00
317.89,08/09/2006 00:00:00
317.81,08/10/2006 00:00:00
317.91,08/11/2006 00:00:00
318.08,08/15/2006 00:00:00
318.57,08/16/2006 00:00:00
318.83,08/17/2006 00:00:00
318.89,08/18/2006 00:00:00
318.85,08/21/2006 00:00:00
318.87,08/22/2006 00:00:00
318.85,08/23/2006 00:00:00
318.8,08/24/2006 00:00:00
319,08/25/2006 00:00:00
