NavVal,NavDate
174.46,04/17/2006 00:00:00
175.72,04/18/2006 00:00:00
176.8,04/19/2006 00:00:00
177.45,04/20/2006 00:00:00
178.26,04/21/2006 00:00:00
177.03,04/24/2006 00:00:00
176.26,04/25/2006 00:00:00
176.72,04/26/2006 00:00:00
176.44,04/27/2006 00:00:00
175.68,05/01/2006 00:00:00
176.63,05/02/2006 00:00:00
175.95,05/03/2006 00:00:00
176.19,05/04/2006 00:00:00
177.35,05/05/2006 00:00:00
177.55,05/08/2006 00:00:00
177.76,05/09/2006 00:00:00
177.11,05/10/2006 00:00:00
176.12,05/11/2006 00:00:00
172.72,05/12/2006 00:00:00
171.91,05/15/2006 00:00:00
172.13,05/16/2006 00:00:00
169,05/17/2006 00:00:00
168.14,05/18/2006 00:00:00
168.93,05/19/2006 00:00:00
165.84,05/22/2006 00:00:00
167.83,05/23/2006 00:00:00
168.61,05/25/2006 00:00:00
171.06,05/26/2006 00:00:00
170.79,05/29/2006 00:00:00
167.14,05/30/2006 00:00:00
168.44,05/31/2006 00:00:00
169.92,06/01/2006 00:00:00
168.24,06/05/2006 00:00:00
166.78,06/06/2006 00:00:00
167.14,06/07/2006 00:00:00
165.16,06/08/2006 00:00:00
166.28,06/09/2006 00:00:00
165.07,06/12/2006 00:00:00
161.99,06/13/2006 00:00:00
161.88,06/14/2006 00:00:00
164.89,06/15/2006 00:00:00
164.37,06/16/2006 00:00:00
164.83,06/19/2006 00:00:00
165.16,06/20/2006 00:00:00
165.36,06/21/2006 00:00:00
166.42,06/23/2006 00:00:00
166.05,06/26/2006 00:00:00
164.59,06/27/2006 00:00:00
165.29,06/28/2006 00:00:00
168.39,06/29/2006 00:00:00
168.45,06/30/2006 00:00:00
169.34,07/03/2006 00:00:00
169.91,07/04/2006 00:00:00
168.72,07/05/2006 00:00:00
169.45,07/06/2006 00:00:00
168.15,07/07/2006 00:00:00
169.03,07/10/2006 00:00:00
168.32,07/11/2006 00:00:00
167.97,07/12/2006 00:00:00
165.68,07/13/2006 00:00:00
164.53,07/14/2006 00:00:00
164.66,07/17/2006 00:00:00
164.58,07/18/2006 00:00:00
167.25,07/19/2006 00:00:00
166.73,07/20/2006 00:00:00
165.09,07/21/2006 00:00:00
167.86,07/24/2006 00:00:00
168.25,07/25/2006 00:00:00
168.59,07/26/2006 00:00:00
168.9,07/27/2006 00:00:00
170.21,07/28/2006 00:00:00
169.87,07/31/2006 00:00:00
169.08,08/01/2006 00:00:00
170.16,08/02/2006 00:00:00
169.53,08/03/2006 00:00:00
169.95,08/04/2006 00:00:00
168.71,08/07/2006 00:00:00
168.84,08/08/2006 00:00:00
169.42,08/09/2006 00:00:00
169.69,08/10/2006 00:00:00
169.31,08/11/2006 00:00:00
172.07,08/15/2006 00:00:00
172.5,08/16/2006 00:00:00
172.59,08/17/2006 00:00:00
172.45,08/18/2006 00:00:00
171.57,08/21/2006 00:00:00
172.61,08/22/2006 00:00:00
171.85,08/23/2006 00:00:00
172.23,08/24/2006 00:00:00
172.24,08/25/2006 00:00:00
172.54,08/28/2006 00:00:00
173.53,08/29/2006 00:00:00
173.65,08/30/2006 00:00:00
173.64,08/31/2006 00:00:00
174.51,09/01/2006 00:00:00
174.6,09/04/2006 00:00:00
174.62,09/05/2006 00:00:00
172.87,09/06/2006 00:00:00
171.88,09/07/2006 00:00:00
172.76,09/08/2006 00:00:00
171.61,09/11/2006 00:00:00
173.66,09/12/2006 00:00:00
174.42,09/13/2006 00:00:00
174.11,09/14/2006 00:00:00
175,09/15/2006 00:00:00
174.92,09/18/2006 00:00:00
174.09,09/19/2006 00:00:00
175.33,09/20/2006 00:00:00
175.48,09/21/2006 00:00:00
173.65,09/22/2006 00:00:00
174.87,09/25/2006 00:00:00
177.15,09/26/2006 00:00:00
177.58,09/27/2006 00:00:00
178.01,09/28/2006 00:00:00
177.72,09/29/2006 00:00:00
176.98,10/02/2006 00:00:00
176.83,10/03/2006 00:00:00
178.52,10/04/2006 00:00:00
179.36,10/05/2006 00:00:00
179.98,10/06/2006 00:00:00
179.78,10/09/2006 00:00:00
180.9,10/10/2006 00:00:00
181.14,10/11/2006 00:00:00
182.52,10/12/2006 00:00:00
183.08,10/13/2006 00:00:00
183.55,10/16/2006 00:00:00
182.06,10/17/2006 00:00:00
183.17,10/18/2006 00:00:00
182.71,10/19/2006 00:00:00
183.12,10/20/2006 00:00:00
184.29,10/23/2006 00:00:00
184.35,10/24/2006 00:00:00
184.66,10/25/2006 00:00:00
184.62,10/26/2006 00:00:00
183.46,10/27/2006 00:00:00
182.89,10/30/2006 00:00:00
182.07,11/01/2006 00:00:00
181.78,11/02/2006 00:00:00
182.14,11/03/2006 00:00:00
183.9,11/06/2006 00:00:00
184.14,11/07/2006 00:00:00
184.27,11/08/2006 00:00:00
183.11,11/09/2006 00:00:00
182.67,11/10/2006 00:00:00
183.23,11/13/2006 00:00:00
183.38,11/14/2006 00:00:00
184.1,11/15/2006 00:00:00
184.51,11/16/2006 00:00:00
183.78,11/17/2006 00:00:00
183.99,11/20/2006 00:00:00
183.83,11/21/2006 00:00:00
183.24,11/22/2006 00:00:00
182.97,11/23/2006 00:00:00
181.34,11/24/2006 00:00:00
178.71,11/27/2006 00:00:00
178.34,11/28/2006 00:00:00
180.24,11/29/2006 00:00:00
179.13,11/30/2006 00:00:00
177.7,12/01/2006 00:00:00
178.64,12/04/2006 00:00:00
179.46,12/05/2006 00:00:00
179.55,12/06/2006 00:00:00
179.73,12/07/2006 00:00:00
179.63,12/08/2006 00:00:00
180.91,12/11/2006 00:00:00
181.25,12/12/2006 00:00:00
182.42,12/13/2006 00:00:00
183.85,12/14/2006 00:00:00
184.41,12/15/2006 00:00:00
184.3,12/18/2006 00:00:00
182.86,12/19/2006 00:00:00
183.19,12/20/2006 00:00:00
182.96,12/21/2006 00:00:00
182.72,12/26/2006 00:00:00
184.25,12/27/2006 00:00:00
184.08,12/28/2006 00:00:00
183.27,12/29/2006 00:00:00
183.86,01/02/2007 00:00:00
184.44,01/03/2007 00:00:00
184.91,01/04/2007 00:00:00
183.85,01/05/2007 00:00:00
183.52,01/08/2007 00:00:00
183.79,01/09/2007 00:00:00
183.36,01/10/2007 00:00:00
186.05,01/11/2007 00:00:00
187.2,01/12/2007 00:00:00
188.21,01/15/2007 00:00:00
187.57,01/16/2007 00:00:00
187.23,01/17/2007 00:00:00
187.05,01/18/2007 00:00:00
187.74,01/19/2007 00:00:00
186.91,01/22/2007 00:00:00
186.69,01/23/2007 00:00:00
188.48,01/24/2007 00:00:00
186.92,01/25/2007 00:00:00
186.54,01/26/2007 00:00:00
186.59,01/29/2007 00:00:00
187.26,01/30/2007 00:00:00
186.98,01/31/2007 00:00:00
188.54,02/01/2007 00:00:00
189.45,02/02/2007 00:00:00
189.89,02/05/2007 00:00:00
190.1,02/06/2007 00:00:00
190.02,02/07/2007 00:00:00
189.05,02/08/2007 00:00:00
189.6,02/09/2007 00:00:00
188.99,02/12/2007 00:00:00
189.37,02/13/2007 00:00:00
190.03,02/14/2007 00:00:00
189.6,02/15/2007 00:00:00
190.17,02/16/2007 00:00:00
189.84,02/19/2007 00:00:00
189.53,02/20/2007 00:00:00
188.64,02/21/2007 00:00:00
189.23,02/22/2007 00:00:00
188.75,02/23/2007 00:00:00
188.9,02/26/2007 00:00:00
183.2,02/27/2007 00:00:00
182.1,02/28/2007 00:00:00
180.84,03/01/2007 00:00:00
179.64,03/02/2007 00:00:00
178.06,03/05/2007 00:00:00
180.18,03/06/2007 00:00:00
180.03,03/07/2007 00:00:00
182.1,03/08/2007 00:00:00
182.55,03/09/2007 00:00:00
181.7,03/12/2007 00:00:00
179.72,03/13/2007 00:00:00
177.2,03/14/2007 00:00:00
178.93,03/15/2007 00:00:00
178.57,03/16/2007 00:00:00
180.79,03/19/2007 00:00:00
182.3,03/20/2007 00:00:00
183.74,03/21/2007 00:00:00
184.67,03/22/2007 00:00:00
185.39,03/23/2007 00:00:00
184.38,03/26/2007 00:00:00
183.65,03/27/2007 00:00:00
182.43,03/28/2007 00:00:00
183.93,03/29/2007 00:00:00
184.04,03/30/2007 00:00:00
183.95,04/02/2007 00:00:00
185.55,04/03/2007 00:00:00
185.95,04/04/2007 00:00:00
186.32,04/09/2007 00:00:00
186.54,04/10/2007 00:00:00
185.99,04/11/2007 00:00:00
185.48,04/12/2007 00:00:00
186.16,04/13/2007 00:00:00
188.1,04/16/2007 00:00:00
188.38,04/17/2007 00:00:00
188.35,04/18/2007 00:00:00
187.76,04/19/2007 00:00:00
190.16,04/20/2007 00:00:00
189.99,04/23/2007 00:00:00
188.83,04/24/2007 00:00:00
189.96,04/25/2007 00:00:00
190.4,04/26/2007 00:00:00
189.48,04/27/2007 00:00:00
189.99,04/30/2007 00:00:00
191.36,05/02/2007 00:00:00
192.01,05/03/2007 00:00:00
193.35,05/04/2007 00:00:00
193.61,05/07/2007 00:00:00
193.54,05/08/2007 00:00:00
193.85,05/09/2007 00:00:00
192.4,05/10/2007 00:00:00
193.27,05/11/2007 00:00:00
192.69,05/14/2007 00:00:00
192.71,05/15/2007 00:00:00
194.18,05/17/2007 00:00:00
195.2,05/18/2007 00:00:00
195.33,05/21/2007 00:00:00
195.23,05/22/2007 00:00:00
195.71,05/23/2007 00:00:00
194.49,05/24/2007 00:00:00
194.85,05/28/2007 00:00:00
