NavVal,NavDate
252.94,11/02/2016 00:00:00
247.67,11/03/2016 00:00:00
247.03,11/04/2016 00:00:00
249.71,11/07/2016 00:00:00
249.55,11/08/2016 00:00:00
251.06,11/09/2016 00:00:00
251.66,11/10/2016 00:00:00
251,11/11/2016 00:00:00
252.05,11/14/2016 00:00:00
252.37,11/15/2016 00:00:00
252.49,11/16/2016 00:00:00
252.87,11/17/2016 00:00:00
253,11/18/2016 00:00:00
253.32,11/21/2016 00:00:00
254.15,11/22/2016 00:00:00
254.51,11/23/2016 00:00:00
254.6,11/24/2016 00:00:00
254.66,11/25/2016 00:00:00
254.17,11/28/2016 00:00:00
253.87,11/29/2016 00:00:00
254.26,11/30/2016 00:00:00
253.61,12/01/2016 00:00:00
253.51,12/02/2016 00:00:00
253.51,12/05/2016 00:00:00
253.95,12/06/2016 00:00:00
256.2,12/07/2016 00:00:00
257.69,12/08/2016 00:00:00
258.69,12/09/2016 00:00:00
258.04,12/12/2016 00:00:00
258.89,12/13/2016 00:00:00
257.93,12/14/2016 00:00:00
259.47,12/15/2016 00:00:00
259.87,12/16/2016 00:00:00
259.98,12/19/2016 00:00:00
260.76,12/20/2016 00:00:00
260.28,12/21/2016 00:00:00
259.48,12/22/2016 00:00:00
259.33,12/23/2016 00:00:00
260.1,12/27/2016 00:00:00
260.03,12/28/2016 00:00:00
259.51,12/29/2016 00:00:00
259.24,12/30/2016 00:00:00
259.24,12/31/2016 00:00:00
258.94,01/02/2017 00:00:00
261.22,01/03/2017 00:00:00
262.79,01/04/2017 00:00:00
261.79,01/05/2017 00:00:00
262.13,01/06/2017 00:00:00
262.02,01/09/2017 00:00:00
261.38,01/10/2017 00:00:00
262.85,01/11/2017 00:00:00
260.62,01/12/2017 00:00:00
261.02,01/13/2017 00:00:00
260.68,01/16/2017 00:00:00
259.86,01/17/2017 00:00:00
260.36,01/18/2017 00:00:00
260.5,01/19/2017 00:00:00
260.22,01/20/2017 00:00:00
259.43,01/23/2017 00:00:00
259.91,01/24/2017 00:00:00
261.37,01/25/2017 00:00:00
261.58,01/26/2017 00:00:00
261.27,01/27/2017 00:00:00
260.22,01/30/2017 00:00:00
259.37,01/31/2017 00:00:00
259.5,02/01/2017 00:00:00
259.01,02/02/2017 00:00:00
259.88,02/03/2017 00:00:00
260.39,02/06/2017 00:00:00
261.59,02/07/2017 00:00:00
261.27,02/08/2017 00:00:00
262.65,02/09/2017 00:00:00
263.93,02/10/2017 00:00:00
264.59,02/13/2017 00:00:00
264.65,02/14/2017 00:00:00
265.25,02/15/2017 00:00:00
264.66,02/16/2017 00:00:00
265.07,02/17/2017 00:00:00
265.44,02/20/2017 00:00:00
267.43,02/21/2017 00:00:00
268.09,02/22/2017 00:00:00
267.83,02/23/2017 00:00:00
267.06,02/24/2017 00:00:00
267.14,02/27/2017 00:00:00
266.36,02/28/2017 00:00:00
268.06,03/01/2017 00:00:00
268.05,03/02/2017 00:00:00
267.27,03/03/2017 00:00:00
266.45,03/06/2017 00:00:00
265.84,03/07/2017 00:00:00
265.21,03/08/2017 00:00:00
264.27,03/09/2017 00:00:00
264.04,03/10/2017 00:00:00
264.37,03/13/2017 00:00:00
264.61,03/14/2017 00:00:00
265.54,03/15/2017 00:00:00
265.59,03/16/2017 00:00:00
265.3,03/17/2017 00:00:00
264.95,03/20/2017 00:00:00
263.47,03/21/2017 00:00:00
263.08,03/22/2017 00:00:00
264.05,03/23/2017 00:00:00
263.72,03/24/2017 00:00:00
262.43,03/27/2017 00:00:00
263.67,03/28/2017 00:00:00
264.83,03/29/2017 00:00:00
265.34,03/30/2017 00:00:00
