NavVal,NavDate
249.44,11/02/2016 00:00:00
248.83,11/03/2016 00:00:00
248.51,11/04/2016 00:00:00
250.22,11/07/2016 00:00:00
249.73,11/08/2016 00:00:00
250.7,11/09/2016 00:00:00
250.92,11/10/2016 00:00:00
249.87,11/11/2016 00:00:00
250.24,11/14/2016 00:00:00
250.75,11/15/2016 00:00:00
250.7,11/16/2016 00:00:00
250.86,11/17/2016 00:00:00
250.49,11/18/2016 00:00:00
251.14,11/21/2016 00:00:00
251.63,11/22/2016 00:00:00
251.59,11/23/2016 00:00:00
251.74,11/24/2016 00:00:00
251.56,11/25/2016 00:00:00
251.31,11/28/2016 00:00:00
250.97,11/29/2016 00:00:00
251.23,11/30/2016 00:00:00
250.71,12/01/2016 00:00:00
250.82,12/02/2016 00:00:00
250.71,12/05/2016 00:00:00
250.85,12/06/2016 00:00:00
252.33,12/07/2016 00:00:00
252.88,12/08/2016 00:00:00
253.32,12/09/2016 00:00:00
252.81,12/12/2016 00:00:00
253.27,12/13/2016 00:00:00
253.45,12/14/2016 00:00:00
253.72,12/15/2016 00:00:00
253.99,12/16/2016 00:00:00
254.53,12/19/2016 00:00:00
254.86,12/20/2016 00:00:00
254.73,12/21/2016 00:00:00
254.31,12/22/2016 00:00:00
254.02,12/23/2016 00:00:00
254.59,12/27/2016 00:00:00
254.61,12/28/2016 00:00:00
254.44,12/29/2016 00:00:00
254.01,12/30/2016 00:00:00
254.01,12/31/2016 00:00:00
253.78,01/02/2017 00:00:00
255,01/03/2017 00:00:00
255.31,01/04/2017 00:00:00
255,01/05/2017 00:00:00
255.34,01/06/2017 00:00:00
255.19,01/09/2017 00:00:00
254.99,01/10/2017 00:00:00
255.63,01/11/2017 00:00:00
254.71,01/12/2017 00:00:00
255.06,01/13/2017 00:00:00
254.84,01/16/2017 00:00:00
254.45,01/17/2017 00:00:00
254.17,01/18/2017 00:00:00
254.48,01/19/2017 00:00:00
254.04,01/20/2017 00:00:00
253.71,01/23/2017 00:00:00
254.01,01/24/2017 00:00:00
254.73,01/25/2017 00:00:00
254.86,01/26/2017 00:00:00
254.66,01/27/2017 00:00:00
254,01/30/2017 00:00:00
253.62,01/31/2017 00:00:00
253.11,02/01/2017 00:00:00
253.27,02/02/2017 00:00:00
253.65,02/03/2017 00:00:00
254.04,02/06/2017 00:00:00
254.6,02/07/2017 00:00:00
254.81,02/08/2017 00:00:00
255.42,02/09/2017 00:00:00
255.9,02/10/2017 00:00:00
256.56,02/13/2017 00:00:00
256.41,02/14/2017 00:00:00
256.42,02/15/2017 00:00:00
256.23,02/16/2017 00:00:00
256.32,02/17/2017 00:00:00
256.6,02/20/2017 00:00:00
257.47,02/21/2017 00:00:00
257.77,02/22/2017 00:00:00
257.71,02/23/2017 00:00:00
257.5,02/24/2017 00:00:00
257.75,02/27/2017 00:00:00
257.01,02/28/2017 00:00:00
258.1,03/01/2017 00:00:00
257.9,03/02/2017 00:00:00
257.68,03/03/2017 00:00:00
257.02,03/06/2017 00:00:00
256.57,03/07/2017 00:00:00
256.37,03/08/2017 00:00:00
255.82,03/09/2017 00:00:00
255.72,03/10/2017 00:00:00
255.95,03/13/2017 00:00:00
256.27,03/14/2017 00:00:00
256.65,03/15/2017 00:00:00
256.32,03/16/2017 00:00:00
256.55,03/17/2017 00:00:00
256.1,03/20/2017 00:00:00
255.39,03/21/2017 00:00:00
255.26,03/22/2017 00:00:00
255.54,03/23/2017 00:00:00
255.66,03/24/2017 00:00:00
255.12,03/27/2017 00:00:00
255.84,03/28/2017 00:00:00
256.39,03/29/2017 00:00:00
256.68,03/30/2017 00:00:00
