NavVal,NavDate
893.72,04/17/2006 00:00:00
897.94,04/18/2006 00:00:00
899.45,04/19/2006 00:00:00
900.68,04/20/2006 00:00:00
901.41,04/21/2006 00:00:00
899.48,04/24/2006 00:00:00
896.28,04/25/2006 00:00:00
896.27,04/26/2006 00:00:00
892.88,04/27/2006 00:00:00
891.72,05/01/2006 00:00:00
894.9,05/02/2006 00:00:00
893.02,05/03/2006 00:00:00
892.46,05/04/2006 00:00:00
895.82,05/05/2006 00:00:00
897,05/08/2006 00:00:00
896.45,05/09/2006 00:00:00
894.75,05/10/2006 00:00:00
889.74,05/11/2006 00:00:00
879.59,05/12/2006 00:00:00
877.61,05/15/2006 00:00:00
876.54,05/16/2006 00:00:00
870.03,05/17/2006 00:00:00
864.95,05/18/2006 00:00:00
867.14,05/19/2006 00:00:00
857.76,05/22/2006 00:00:00
859.81,05/23/2006 00:00:00
863.78,05/25/2006 00:00:00
871.28,05/26/2006 00:00:00
871.07,05/29/2006 00:00:00
860.13,05/30/2006 00:00:00
862.34,05/31/2006 00:00:00
865.82,06/01/2006 00:00:00
860.9,06/05/2006 00:00:00
856.59,06/06/2006 00:00:00
854.63,06/07/2006 00:00:00
851.25,06/08/2006 00:00:00
854.14,06/09/2006 00:00:00
851.03,06/12/2006 00:00:00
842.45,06/13/2006 00:00:00
841.58,06/14/2006 00:00:00
850.89,06/15/2006 00:00:00
850.01,06/16/2006 00:00:00
848.68,06/19/2006 00:00:00
847.31,06/20/2006 00:00:00
847.96,06/21/2006 00:00:00
851.11,06/23/2006 00:00:00
850.39,06/26/2006 00:00:00
846.72,06/27/2006 00:00:00
848.92,06/28/2006 00:00:00
858.89,06/29/2006 00:00:00
857.82,06/30/2006 00:00:00
861.06,07/03/2006 00:00:00
862.88,07/04/2006 00:00:00
858.41,07/05/2006 00:00:00
858.91,07/06/2006 00:00:00
857.4,07/07/2006 00:00:00
859.59,07/10/2006 00:00:00
859.6,07/11/2006 00:00:00
857.69,07/12/2006 00:00:00
851.98,07/13/2006 00:00:00
849.46,07/14/2006 00:00:00
848.82,07/17/2006 00:00:00
848.19,07/18/2006 00:00:00
855.53,07/19/2006 00:00:00
854.22,07/20/2006 00:00:00
850.23,07/21/2006 00:00:00
858.3,07/24/2006 00:00:00
861.09,07/25/2006 00:00:00
861.62,07/26/2006 00:00:00
862.12,07/27/2006 00:00:00
866.31,07/28/2006 00:00:00
866.46,07/31/2006 00:00:00
864.23,08/01/2006 00:00:00
866.25,08/02/2006 00:00:00
864.72,08/03/2006 00:00:00
865.35,08/04/2006 00:00:00
863.05,08/07/2006 00:00:00
863.4,08/08/2006 00:00:00
861.87,08/09/2006 00:00:00
863.5,08/10/2006 00:00:00
861.75,08/11/2006 00:00:00
868.47,08/15/2006 00:00:00
871.86,08/16/2006 00:00:00
872.69,08/17/2006 00:00:00
874.61,08/18/2006 00:00:00
871.22,08/21/2006 00:00:00
875.91,08/22/2006 00:00:00
874.07,08/23/2006 00:00:00
874.9,08/24/2006 00:00:00
875.73,08/25/2006 00:00:00
875.71,08/28/2006 00:00:00
877.2,08/29/2006 00:00:00
877.26,08/30/2006 00:00:00
879.12,08/31/2006 00:00:00
881.46,09/01/2006 00:00:00
881.54,09/04/2006 00:00:00
882.44,09/05/2006 00:00:00
876.26,09/06/2006 00:00:00
874.09,09/07/2006 00:00:00
876.71,09/08/2006 00:00:00
873.01,09/11/2006 00:00:00
876.49,09/12/2006 00:00:00
879.28,09/13/2006 00:00:00
877.28,09/14/2006 00:00:00
880.95,09/15/2006 00:00:00
879.79,09/18/2006 00:00:00
878.99,09/19/2006 00:00:00
881.08,09/20/2006 00:00:00
880.21,09/21/2006 00:00:00
877.02,09/22/2006 00:00:00
879.61,09/25/2006 00:00:00
885.37,09/26/2006 00:00:00
887.41,09/27/2006 00:00:00
888.43,09/28/2006 00:00:00
887.94,09/29/2006 00:00:00
885.56,10/02/2006 00:00:00
883.54,10/03/2006 00:00:00
889,10/04/2006 00:00:00
892.1,10/05/2006 00:00:00
892.77,10/06/2006 00:00:00
892.55,10/09/2006 00:00:00
894.81,10/10/2006 00:00:00
893.6,10/11/2006 00:00:00
897.38,10/12/2006 00:00:00
899.68,10/13/2006 00:00:00
901.28,10/16/2006 00:00:00
898.1,10/17/2006 00:00:00
900.32,10/18/2006 00:00:00
899.18,10/19/2006 00:00:00
900.21,10/20/2006 00:00:00
902.23,10/23/2006 00:00:00
902.65,10/24/2006 00:00:00
903.81,10/25/2006 00:00:00
904.57,10/26/2006 00:00:00
901.52,10/27/2006 00:00:00
900.89,10/30/2006 00:00:00
900.03,11/01/2006 00:00:00
898.6,11/02/2006 00:00:00
899.47,11/03/2006 00:00:00
903.46,11/06/2006 00:00:00
904.02,11/07/2006 00:00:00
903.86,11/08/2006 00:00:00
901.3,11/09/2006 00:00:00
900.95,11/10/2006 00:00:00
901.66,11/13/2006 00:00:00
904.64,11/14/2006 00:00:00
906.85,11/15/2006 00:00:00
907,11/16/2006 00:00:00
905.75,11/17/2006 00:00:00
905.24,11/20/2006 00:00:00
906.31,11/21/2006 00:00:00
905.52,11/22/2006 00:00:00
904.59,11/23/2006 00:00:00
899.87,11/24/2006 00:00:00
892.06,11/27/2006 00:00:00
891.4,11/28/2006 00:00:00
897.18,11/29/2006 00:00:00
895.94,11/30/2006 00:00:00
892.9,12/01/2006 00:00:00
895.98,12/04/2006 00:00:00
898.95,12/05/2006 00:00:00
899.34,12/06/2006 00:00:00
899.81,12/07/2006 00:00:00
898.73,12/08/2006 00:00:00
902.04,12/11/2006 00:00:00
902.1,12/12/2006 00:00:00
903.93,12/13/2006 00:00:00
908.18,12/14/2006 00:00:00
911.4,12/15/2006 00:00:00
910.8,12/18/2006 00:00:00
905.78,12/19/2006 00:00:00
906.29,12/20/2006 00:00:00
905.66,12/21/2006 00:00:00
904.5,12/26/2006 00:00:00
908.29,12/27/2006 00:00:00
907.28,12/28/2006 00:00:00
904.8,12/29/2006 00:00:00
905.88,01/02/2007 00:00:00
907,01/03/2007 00:00:00
910.14,01/04/2007 00:00:00
907.39,01/05/2007 00:00:00
907.65,01/08/2007 00:00:00
906.87,01/09/2007 00:00:00
906.12,01/10/2007 00:00:00
911.7,01/11/2007 00:00:00
913.89,01/12/2007 00:00:00
916.23,01/15/2007 00:00:00
914.78,01/16/2007 00:00:00
914.13,01/17/2007 00:00:00
912.64,01/18/2007 00:00:00
916.28,01/19/2007 00:00:00
915.26,01/22/2007 00:00:00
914.82,01/23/2007 00:00:00
920.65,01/24/2007 00:00:00
915.8,01/25/2007 00:00:00
915.22,01/26/2007 00:00:00
913.6,01/29/2007 00:00:00
915.57,01/30/2007 00:00:00
916.42,01/31/2007 00:00:00
920.54,02/01/2007 00:00:00
923.36,02/02/2007 00:00:00
924.86,02/05/2007 00:00:00
925.66,02/06/2007 00:00:00
925.14,02/07/2007 00:00:00
922.08,02/08/2007 00:00:00
921.52,02/09/2007 00:00:00
919.14,02/12/2007 00:00:00
920.4,02/13/2007 00:00:00
922.77,02/14/2007 00:00:00
923.82,02/15/2007 00:00:00
924.11,02/16/2007 00:00:00
924,02/19/2007 00:00:00
923.65,02/20/2007 00:00:00
922.84,02/21/2007 00:00:00
924.28,02/22/2007 00:00:00
924.1,02/23/2007 00:00:00
925.3,02/26/2007 00:00:00
909.22,02/27/2007 00:00:00
906.07,02/28/2007 00:00:00
904.39,03/01/2007 00:00:00
900.57,03/02/2007 00:00:00
895.21,03/05/2007 00:00:00
902.02,03/06/2007 00:00:00
902.1,03/07/2007 00:00:00
908.07,03/08/2007 00:00:00
908.39,03/09/2007 00:00:00
907.41,03/12/2007 00:00:00
901.19,03/13/2007 00:00:00
895.08,03/14/2007 00:00:00
898.9,03/15/2007 00:00:00
896.9,03/16/2007 00:00:00
902.52,03/19/2007 00:00:00
906.71,03/20/2007 00:00:00
911.69,03/21/2007 00:00:00
913.95,03/22/2007 00:00:00
915.41,03/23/2007 00:00:00
913.22,03/26/2007 00:00:00
910.61,03/27/2007 00:00:00
907.04,03/28/2007 00:00:00
910.08,03/29/2007 00:00:00
910.22,03/30/2007 00:00:00
909.36,04/02/2007 00:00:00
913.92,04/03/2007 00:00:00
916.57,04/04/2007 00:00:00
917.88,04/09/2007 00:00:00
917.87,04/10/2007 00:00:00
916.02,04/11/2007 00:00:00
914.97,04/12/2007 00:00:00
915.22,04/13/2007 00:00:00
920.49,04/16/2007 00:00:00
920.67,04/17/2007 00:00:00
920.43,04/18/2007 00:00:00
917.4,04/19/2007 00:00:00
922,04/20/2007 00:00:00
